method,seed,score,median_mse_scaled,median_mae_scaled,coverage80,width80_scaled,crossing_after_sort
SHUFFLED_19,24000,0.613710458894974,1.5264588351496418,0.8901507505614205,0.7958496305953933,2.804452115737896,0
LORA,24001,0.6113834127986751,1.5132833282947251,0.886618897099739,0.7896566710126032,2.755903240042415,0
GLOBAL,24001,0.6113834127986751,1.5132833282947251,0.886618897099739,0.7896566710126032,2.755903240042415,0
INDIVIDUAL,24001,0.6139733888142503,1.5248537908474866,0.8907714675133936,0.7955236853541938,2.8088525405901326,0
SHUFFLED_00,24001,0.6138642666610562,1.5241831837399373,0.890261502364346,0.7969361147327249,2.8116262010574773,0
SHUFFLED_01,24001,0.6129315812919326,1.5190542308781625,0.8890525008001409,0.7967188179052586,2.8098728782321163,0
SHUFFLED_02,24001,0.6138392960140128,1.5234398842513293,0.890174435693125,0.7960126032159931,2.813240325121817,0
SHUFFLED_03,24001,0.6134743192213747,1.5232683494417678,0.8894667073339059,0.796284224250326,2.810529443122659,0
SHUFFLED_04,24001,0.6137140741598333,1.5246942856494194,0.8901321002690765,0.7955780095610604,2.813190897959954,0
SHUFFLED_05,24001,0.6134399694978199,1.5204830243814595,0.8896501692101164,0.796664493698392,2.80888900502911,0
SHUFFLED_06,24001,0.6134816980465857,1.521407628512409,0.8898336234003641,0.7967188179052586,2.8090999318416325,0
SHUFFLED_07,24001,0.613550404579239,1.5242745447060806,0.8899108258324361,0.7963928726640591,2.813023787656077,0
SHUFFLED_08,24001,0.6136492345227534,1.5223454508315555,0.8900572679668033,0.7967188179052586,2.8103477748404484,0
SHUFFLED_09,24001,0.6133089478499342,1.5233496352192901,0.889862986911843,0.7970990873533247,2.8112661861057577,0
SHUFFLED_10,24001,0.6138678035716773,1.5229427765513508,0.8903100846004395,0.7956866579747935,2.8102828481332627,0
SHUFFLED_11,24001,0.6135506934346584,1.5214095839707495,0.8895453369560088,0.7953063885267275,2.810376168749289,0
SHUFFLED_12,24001,0.6136435941696539,1.523186667819868,0.8900239634603937,0.7965558452846588,2.8121575462901314,0
SHUFFLED_13,24001,0.6134171132947146,1.521866452067631,0.8896257256420312,0.7969361147327249,2.811300990412376,0
SHUFFLED_14,24001,0.6134434448142099,1.5243901079961066,0.8897485971885862,0.796284224250326,2.8128113296312045,0
SHUFFLED_15,24001,0.6132074315769135,1.5231393413805423,0.8893282685539101,0.7965558452846588,2.8119122920274946,0
SHUFFLED_16,24001,0.6132919532795831,1.5221127924845816,0.8894393083751063,0.7966101694915254,2.811734286668795,0
SHUFFLED_17,24001,0.6138552979423073,1.5247812767052629,0.890073451810226,0.7953607127335941,2.81138981579767,0
SHUFFLED_18,24001,0.6133613707428797,1.5200809778361042,0.8890859838059165,0.7953607127335941,2.8101750240507943,0
SHUFFLED_19,24001,0.6134051644180359,1.524080884298043,0.8898057963366822,0.7961755758365928,2.8126890367061104,0
