split,task_uid,task,label,specialist_score,n_seeds,F_FIXED,F_FAMILY_ENVELOPE,F_ENVELOPE_MODEL,F_MEAN,linear_ar,seasonal_naive,RI_vs_envelope_pct,RI_vs_fixed_pct,RI_vs_mean_pct,RI_vs_linear_ar_pct,RI_vs_naive_pct,RI_vs_envelope_seed_2026090701_pct,RI_vs_envelope_seed_2026090702_pct
holdout,fevbench::m5_1M::m5_1M,m5_1M,S_BEST,0.9922860246003524,2,0.9635744985932716,0.9635744985932716,timesfm-3.0,0.9730121804624478,1.144379538215259,1.139859357696244,-2.979689276646171,-2.979689276646171,-1.9808430485160327,13.290478249209809,12.946626449963984,-3.893903536719444,-2.065475016572898
holdout,fevbench::m5_1M::m5_1M,m5_1M,S_ENSEMBLE,0.9994987461857334,2,0.9635744985932716,0.9635744985932716,timesfm-3.0,0.9730121804624478,1.144379538215259,1.139859357696244,-3.7282273083096173,-3.7282273083096173,-2.7221206738334236,12.660204695330144,12.313853508575974,-4.11683654104774,-3.3396180755715066
holdout,fevbench::restaurant::restaurant,restaurant,S_BEST,0.7037550093202711,2,0.7001065321385589,0.6795669545392735,tirex-2,0.6885070528699662,0.7783583051657001,0.9837597911987978,-3.559333575511541,-0.5211317155644201,-2.2146405598527323,9.584698377381244,28.462718682303144,-4.305335695753283,-2.813331455269816
holdout,fevbench::restaurant::restaurant,restaurant,S_ENSEMBLE,0.6995991376768842,2,0.7001065321385589,0.6795669545392735,tirex-2,0.6885070528699662,0.7783583051657001,0.9837597911987978,-2.9477865284358793,0.07247389338373918,-1.6110343039598354,10.118626211876723,28.88516648720099,-2.891104926736061,-3.004468130135714
holdout,fevbench::solar_1D::solar_1D,solar_1D,S_BEST,1.176173841262527,2,0.603747856488551,0.5974614092480928,chronos-2,0.601836319936142,0.719207675369509,1.4067834914738802,-96.86189317946844,-94.81209392663592,-95.43085093091847,-63.53744287534773,16.392689536734927,-110.10836695514486,-83.61541940379206
holdout,fevbench::solar_1D::solar_1D,solar_1D,S_ENSEMBLE,1.1081207467414242,2,0.603747856488551,0.5974614092480928,chronos-2,0.601836319936142,0.719207675369509,1.4067834914738802,-85.47151825855967,-83.54031982595333,-84.12327572038221,-54.07521147102643,21.230185493543743,-63.651159356908906,-107.29187716021042
holdout,fevbench::us_consumption_1Y::us_consumption_1Y,us_consumption_1Y,S_BEST,11.941646595037106,2,3.68586054839567,3.4402365533023107,tirex-2,3.6822421375780103,5.887698876904796,6.584622666049978,-247.11701971697914,-223.98530650420022,-224.3036755559945,-102.82366412928565,-81.35658185255937,-392.5178275935761,-101.71621184038229
holdout,fevbench::us_consumption_1Y::us_consumption_1Y,us_consumption_1Y,S_ENSEMBLE,7.7523570541257385,2,3.68586054839567,3.4402365533023107,tirex-2,3.6822421375780103,5.887698876904796,6.584622666049978,-125.3437208172266,-110.32692236552673,-110.53360329054408,-31.670406659812162,-17.73426432005811,-171.34962421761,-79.3378174168432
holdout,fevbench::world_co2_emissions::world_co2_emissions,world_co2_emissions,S_BEST,5.3717727770337325,2,2.779922813854116,2.639600326147534,tirex-2,2.723956326661661,3.101289563769156,3.155015253046991,-103.50705081453647,-93.23460170414755,-97.20480554169153,-73.21093908126211,-70.26138849395049,-106.1077496848256,-100.90635194424733
holdout,fevbench::world_co2_emissions::world_co2_emissions,world_co2_emissions,S_ENSEMBLE,5.533467881003176,2,2.779922813854116,2.639600326147534,tirex-2,2.723956326661661,3.101289563769156,3.155015253046991,-109.63279274477163,-99.05113384538595,-103.14084432420786,-78.4247412962648,-75.38640663176407,-120.06298473803267,-99.20260075151064
