task_uid,safe_name,label,seed,native_metric,native_score,n_origins,n_missing_rows,reconciliation_gap,horizon,num_windows,scored_at_utc
fevbench::hospital::hospital,fevbench__hospital__hospital,S_ENSEMBLE,2026090702,SQL,0.819307863143859,3068,0,1.3550742944965693e-16,12,4,2026-09-07T08:08:22.720377+00:00
fevbench::LOOP_SEATTLE_1D::LOOP_SEATTLE_1D,fevbench__LOOP_SEATTLE_1D__LOOP_SEATTLE_1D,S_BEST,2026090701,SQL,1.1431920855074016,3230,0,1.942321047704574e-16,28,10,2026-09-07T08:08:28.181659+00:00
fevbench::LOOP_SEATTLE_1D::LOOP_SEATTLE_1D,fevbench__LOOP_SEATTLE_1D__LOOP_SEATTLE_1D,S_BEST,2026090702,SQL,1.1332938309681668,3230,0,0.0,28,10,2026-09-07T08:08:28.530632+00:00
fevbench::LOOP_SEATTLE_1D::LOOP_SEATTLE_1D,fevbench__LOOP_SEATTLE_1D__LOOP_SEATTLE_1D,S_ENSEMBLE,2026090701,SQL,0.9724894546279049,3230,0,2.283259770770371e-16,28,10,2026-09-07T08:08:28.850420+00:00
fevbench::LOOP_SEATTLE_1D::LOOP_SEATTLE_1D,fevbench__LOOP_SEATTLE_1D__LOOP_SEATTLE_1D,S_ENSEMBLE,2026090702,SQL,1.0330810989907082,3230,0,2.1493434072306885e-16,28,10,2026-09-07T08:08:29.170654+00:00
fevbench::m5_1M::m5_1M,fevbench__m5_1M__m5_1M,S_BEST,2026090701,SQL,1.0010951600729217,29364,0,4.657835627819837e-15,12,1,2026-09-07T08:08:47.647499+00:00
fevbench::m5_1M::m5_1M,fevbench__m5_1M__m5_1M,S_BEST,2026090702,SQL,0.9834768891277831,29364,0,3.838176906295434e-15,12,1,2026-09-07T08:08:53.713034+00:00
fevbench::m5_1M::m5_1M,fevbench__m5_1M__m5_1M,S_ENSEMBLE,2026090701,SQL,1.003243285651577,29364,0,1.0402358611050693e-14,12,1,2026-09-07T08:08:59.771820+00:00
fevbench::m5_1M::m5_1M,fevbench__m5_1M__m5_1M,S_ENSEMBLE,2026090702,SQL,0.99575420671989,29364,0,5.797775885946951e-15,12,1,2026-09-07T08:09:05.821495+00:00
fevbench::restaurant::restaurant,fevbench__restaurant__restaurant,S_BEST,2026090701,SQL,0.7088245932095963,6502,0,1.5662873936103235e-16,28,8,2026-09-07T08:09:12.441342+00:00
fevbench::restaurant::restaurant,fevbench__restaurant__restaurant,S_BEST,2026090702,SQL,0.698685425430946,6502,0,1.5890170085348152e-16,28,8,2026-09-07T08:09:13.486633+00:00
fevbench::restaurant::restaurant,fevbench__restaurant__restaurant,S_ENSEMBLE,2026090701,SQL,0.6992139482424287,6502,0,9.52689540089287e-16,28,8,2026-09-07T08:09:14.532596+00:00
fevbench::restaurant::restaurant,fevbench__restaurant__restaurant,S_ENSEMBLE,2026090702,SQL,0.6999843271113398,6502,0,4.758205212422838e-16,28,8,2026-09-07T08:09:15.588009+00:00
fevbench::solar_1D::solar_1D,fevbench__solar_1D__solar_1D,S_BEST,2026090701,SQL,1.2553164101583623,1370,0,3.5376675255447294e-16,28,10,2026-09-07T08:09:20.971116+00:00
fevbench::solar_1D::solar_1D,fevbench__solar_1D__solar_1D,S_BEST,2026090702,SQL,1.097031272366692,1370,0,4.0480998220953364e-16,28,10,2026-09-07T08:09:21.208832+00:00
fevbench::solar_1D::solar_1D,fevbench__solar_1D__solar_1D,S_ENSEMBLE,2026090701,SQL,0.9777525229446299,1370,0,0.0,28,10,2026-09-07T08:09:21.414803+00:00
fevbench::solar_1D::solar_1D,fevbench__solar_1D__solar_1D,S_ENSEMBLE,2026090702,SQL,1.2384889705382185,1370,0,0.0,28,10,2026-09-07T08:09:21.622369+00:00
fevbench::us_consumption_1Y::us_consumption_1Y,fevbench__us_consumption_1Y__us_consumption_1Y,S_BEST,2026090701,SQL,16.94377833640466,310,0,0.0,5,10,2026-09-07T08:09:26.842746+00:00
fevbench::us_consumption_1Y::us_consumption_1Y,fevbench__us_consumption_1Y__us_consumption_1Y,S_BEST,2026090702,SQL,6.9395148536695554,310,0,0.0,5,10,2026-09-07T08:09:26.978023+00:00
fevbench::us_consumption_1Y::us_consumption_1Y,fevbench__us_consumption_1Y__us_consumption_1Y,S_ENSEMBLE,2026090701,SQL,9.335068959582681,310,0,0.0,5,10,2026-09-07T08:09:27.113220+00:00
fevbench::us_consumption_1Y::us_consumption_1Y,fevbench__us_consumption_1Y__us_consumption_1Y,S_ENSEMBLE,2026090702,SQL,6.169645148668797,310,0,2.8791880190768e-16,5,10,2026-09-07T08:09:27.247227+00:00
fevbench::world_co2_emissions::world_co2_emissions,fevbench__world_co2_emissions__world_co2_emissions,S_BEST,2026090701,SQL,5.440420832896,1719,0,0.0,5,9,2026-09-07T08:09:32.385874+00:00
fevbench::world_co2_emissions::world_co2_emissions,fevbench__world_co2_emissions__world_co2_emissions,S_BEST,2026090702,SQL,5.303124721171465,1719,0,3.349641829671793e-16,5,9,2026-09-07T08:09:32.573070+00:00
fevbench::world_co2_emissions::world_co2_emissions,fevbench__world_co2_emissions__world_co2_emissions,S_ENSEMBLE,2026090701,SQL,5.8087832628751075,1719,0,0.0,5,9,2026-09-07T08:09:32.760588+00:00
fevbench::world_co2_emissions::world_co2_emissions,fevbench__world_co2_emissions__world_co2_emissions,S_ENSEMBLE,2026090702,SQL,5.258152499131245,1719,0,1.689145417229475e-16,5,9,2026-09-07T08:09:32.948042+00:00
