dataset,condition,seed,method,recipe,action,selected_step,E_selected,E_final,F0,normalized_E,fit_key,selected_checkpoint
bmra,SPREAD30,28002,WIDE,2,WIDE,60,0.3506284529597096,0.3506284529597096,0.35272339948758413,0.9940606533875611,test/bmra/SPREAD30/WIDE/r2/s28002,JOINT_60
bmra,SPREAD30,28002,CURRENT_C,0,JOINT,5,0.35312957208765816,0.37892094423202016,0.35272339948758413,1.0011515329027336,test/bmra/SPREAD30/TREE/r0/s28002,JOINT_5
bmra,SPREAD30,28002,RANDOM,0,JOINT,5,0.35312957208765816,0.37892094423202016,0.35272339948758413,1.0011515329027336,test/bmra/SPREAD30/TREE/r0/s28002,JOINT_5
bmra,SPREAD30,28002,HEAD_PROBE,0,HEAD,5,0.35312957208765816,0.3552354558545981,0.35272339948758413,1.0011515329027336,test/bmra/SPREAD30/TREE/r0/s28002,JOINT_5
bmra,SPREAD30,28002,MASKED1,0,MASKED1,5,0.35312957208765816,0.3556542263726272,0.35272339948758413,1.0011515329027336,test/bmra/SPREAD30/TREE/r0/s28002,JOINT_5
bmra,SPREAD30,28002,CONSTANT,0,STOP,5,0.35312957208765816,0.3566287834095405,0.35272339948758413,1.0011515329027336,test/bmra/SPREAD30/TREE/r0/s28002,JOINT_5
bmra,SPREAD30,28002,SOURCE_CONSTANT,0,STOP,5,0.35312957208765816,0.3566287834095405,0.35272339948758413,1.0011515329027336,test/bmra/SPREAD30/TREE/r0/s28002,JOINT_5
bmra,SPREAD30,28003,FULL,0,JOINT,10,0.3516267515313608,0.37289228800085616,0.35272339948758413,0.9968909123754861,test/bmra/SPREAD30/TREE/r0/s28003,JOINT_10
bmra,SPREAD30,28003,HEAD,0,HEAD0,60,0.3496958898564697,0.3496958898564697,0.35272339948758413,0.9914167598874568,test/bmra/SPREAD30/TREE/r0/s28003,HEAD0_60
bmra,SPREAD30,28003,FIXED,0,HEAD1,10,0.3516267515313608,0.3549919647327241,0.35272339948758413,0.9968909123754861,test/bmra/SPREAD30/TREE/r0/s28003,JOINT_10
bmra,SPREAD30,28003,EARLY_STOP,0,ES2,10,0.3516267515313608,0.35459481621278593,0.35272339948758413,0.9968909123754861,test/bmra/SPREAD30/TREE/r0/s28003,JOINT_10
bmra,SPREAD30,28003,PROBE,0,HEAD,10,0.3516267515313608,0.3549919647327241,0.35272339948758413,0.9968909123754861,test/bmra/SPREAD30/TREE/r0/s28003,JOINT_10
