series,target_event,first_release,first_growth,maturity_date,mature_growth
PAYEMS,1999-07-01,1999-08-06,0.24107640573749478,2000-01-31,0.2899803399495582
PAYEMS,1999-08-01,1999-09-03,0.09624116915247782,2000-02-29,0.10009272990867402
PAYEMS,1999-09-01,1999-10-08,-0.006205639376766214,2000-03-31,0.07984713187738635
PAYEMS,1999-10-01,1999-11-05,0.24004781506992146,2000-04-30,0.21983134481864397
PAYEMS,1999-11-01,1999-12-03,0.1807955494481206,2000-05-31,0.19851621490740712
PAYEMS,1999-12-01,2000-01-07,0.24284674435808284,2000-06-30,0.1924365361047009
PAYEMS,2000-01-01,2000-02-04,0.2974671386445138,2000-07-31,0.2680235836995948
PAYEMS,2000-02-01,2000-03-03,0.0329998813464627,2000-08-31,0.07283349435898145
PAYEMS,2000-03-01,2000-04-07,0.3187571181886284,2000-09-30,0.4030736916426747
PAYEMS,2000-04-01,2000-05-05,0.2596471786400656,2000-10-31,0.31246691175343955
PAYEMS,2000-05-01,2000-06-02,0.17561402887178446,2000-11-30,0.13003359131822378
PAYEMS,2000-06-01,2000-07-07,0.00835894844914975,2000-12-31,0.04330698259806809
PAYEMS,2000-07-01,2000-08-04,-0.08208808207648133,2001-01-31,-0.03038890220690149
PAYEMS,2000-08-01,2000-09-01,-0.07982150815131206,2001-02-28,-0.06004522573856974
PAYEMS,2000-09-01,2000-10-06,0.19142832603122883,2001-03-31,0.14814761248018726
PAYEMS,2000-10-01,2000-11-03,0.10395208517763876,2001-04-30,0.0500925964511012
PAYEMS,2000-11-01,2000-12-08,0.07129476133815871,2001-05-31,0.04020771511239474
PAYEMS,2000-12-01,2001-01-05,0.0796054643803501,2001-06-30,0.06650393600757809
PAYEMS,2001-01-01,2001-02-02,0.20303806361443577,2001-07-31,0.04607337833348879
PAYEMS,2001-02-01,2001-03-09,0.1021415770937395,2001-08-31,0.1260268143546739
PAYEMS,2001-03-01,2001-04-06,-0.06502147449793938,2001-09-30,0.04448650209649685
PAYEMS,2001-04-01,2001-05-04,-0.16876236140621614,2001-10-31,-0.12446115590414308
PAYEMS,2001-05-01,2001-06-01,-0.014343682198791896,2001-11-30,0.030941178049204154
PAYEMS,2001-06-01,2001-07-06,-0.08607671929841132,2001-12-31,-0.0747279823121616
PAYEMS,2001-07-01,2001-08-03,-0.03171822162872928,2002-01-31,0.013591060123552268
PAYEMS,2001-08-01,2001-09-07,-0.08535549569312906,2002-02-28,-0.04077872313370534
PAYEMS,2001-09-01,2001-10-05,-0.15045498451158323,2002-03-31,-0.12470478706330113
PAYEMS,2001-10-01,2001-11-02,-0.31445494543760333,2002-04-30,-0.33937883883901065
PAYEMS,2001-11-01,2001-12-07,-0.2515265789801546,2002-05-31,-0.2697477785787328
PAYEMS,2001-12-01,2002-01-04,-0.09440498915811446,2002-06-30,-0.15039491034105623
PAYEMS,2002-01-01,2002-02-01,-0.06780823482230858,2002-07-31,-0.014517059480567696
PAYEMS,2002-02-01,2002-03-08,0.050294145602514106,2002-08-31,-0.1261578975858768
PAYEMS,2002-03-01,2002-04-05,0.04419418080310322,2002-09-30,-0.003825452264649698
PAYEMS,2002-04-01,2002-05-03,0.03277226733402472,2002-10-31,-0.01606849774482555
PAYEMS,2002-05-01,2002-06-07,0.03136294990415678,2002-11-30,0.016833599905119456
PAYEMS,2002-06-01,2002-07-05,0.027539358506878386,2002-12-31,0.026009991043096647
PAYEMS,2002-07-01,2002-08-02,0.004588173219666203,2003-01-31,0.041296085870889954
PAYEMS,2002-08-01,2002-09-06,0.0298113858768545,2003-02-28,0.09399969358927507
PAYEMS,2002-09-01,2002-10-04,-0.032855653187091605,2003-03-31,-0.06418534502206086
PAYEMS,2002-10-01,2002-11-01,-0.003819782654801429,2003-04-30,0.052726697359162245
PAYEMS,2002-11-01,2002-12-06,-0.03055884511340423,2003-05-31,-0.061899396355791225
PAYEMS,2002-12-01,2003-01-10,-0.07724104560011824,2003-06-30,-0.1619296842415352
PAYEMS,2003-01-01,2003-02-07,0.10938367602406629,2003-07-31,0.12128005662290775
PAYEMS,2003-02-01,2003-03-07,-0.23565247590475735,2003-08-31,-0.09286583857157638
