source,stage,method,seed,lr_or_lambda,val_score,best_step,selected_for_forecast,lr_boundary,step_boundary,trainable,fit_wall_seconds,guard_seconds,path
bike,GPU_FIT_SORT_SELECTION,H_MLP,12002,0.001,0.20576076331492854,40,True,True,False,589301,9.716685599996708,14.218,runs/peft_temporal_replication_v1/trials/bike/H_MLP/lr_1e-03_seed_12002
bike,GPU_FIT_SORT_SELECTION,OFF_LORA,12001,0.0001,0.20436150885004833,40,True,True,False,1206912,40.02200970000558,44.5,runs/peft_temporal_replication_v1/trials/bike/OFF_LORA/lr_1e-04_seed_12001
bike,GPU_FIT_SORT_SELECTION,OFF_LORA,12002,0.0001,0.1995044238098435,40,True,True,False,1206912,40.911584200002835,46.515,runs/peft_temporal_replication_v1/trials/bike/OFF_LORA/lr_1e-04_seed_12002
household,GPU_FIT_SORT_SELECTION,F0,12000,0.0,0.4237860399012622,0,True,False,False,0,8.879292500001611,14.203,runs/peft_temporal_replication_v1/trials/household/F0/lr_0e+00_seed_12000
household,GPU_FIT_SORT_SELECTION,H_MLP,12000,0.0001,0.4237860399012622,0,False,True,True,589301,9.523377900004562,14.203,runs/peft_temporal_replication_v1/trials/household/H_MLP/lr_1e-04_seed_12000
household,GPU_FIT_SORT_SELECTION,H_MLP,12000,0.0003,0.4237860399012622,0,False,False,True,589301,9.814659800002119,14.204,runs/peft_temporal_replication_v1/trials/household/H_MLP/lr_3e-04_seed_12000
household,GPU_FIT_SORT_SELECTION,H_MLP,12000,0.001,0.4237860399012622,0,False,True,True,589301,9.398310199998377,14.203,runs/peft_temporal_replication_v1/trials/household/H_MLP/lr_1e-03_seed_12000
household,GPU_FIT_SORT_SELECTION,H_FULL,12000,3e-05,0.4237860399012622,0,True,True,True,3653280,9.600226899994595,14.219,runs/peft_temporal_replication_v1/trials/household/H_FULL/lr_3e-05_seed_12000
household,GPU_FIT_SORT_SELECTION,H_FULL,12000,0.0001,0.4237860399012622,0,False,False,True,3653280,9.599143300001742,14.203,runs/peft_temporal_replication_v1/trials/household/H_FULL/lr_1e-04_seed_12000
household,GPU_FIT_SORT_SELECTION,H_FULL,12000,0.0003,0.4237860399012622,0,False,True,True,3653280,9.624837100003788,14.203,runs/peft_temporal_replication_v1/trials/household/H_FULL/lr_3e-04_seed_12000
household,GPU_FIT_SORT_SELECTION,OFF_LORA,12000,1e-05,0.42045959711448455,200,False,True,True,1206912,39.942535999995016,44.5,runs/peft_temporal_replication_v1/trials/household/OFF_LORA/lr_1e-05_seed_12000
household,GPU_FIT_SORT_SELECTION,OFF_LORA,12000,3e-05,0.42016308329411145,80,False,False,False,1206912,39.114802200005215,44.485,runs/peft_temporal_replication_v1/trials/household/OFF_LORA/lr_3e-05_seed_12000
household,GPU_FIT_SORT_SELECTION,OFF_LORA,12000,0.0001,0.419304831693731,40,True,True,False,1206912,38.93811099999584,44.485,runs/peft_temporal_replication_v1/trials/household/OFF_LORA/lr_1e-04_seed_12000
household,GPU_FIT_SORT_SELECTION,H_FULL,12001,3e-05,0.4237860399012622,0,True,True,True,3653280,9.627677099997527,14.234,runs/peft_temporal_replication_v1/trials/household/H_FULL/lr_3e-05_seed_12001
household,GPU_FIT_SORT_SELECTION,H_FULL,12002,3e-05,0.42376225826001934,40,True,True,False,3653280,9.535881600000721,14.203,runs/peft_temporal_replication_v1/trials/household/H_FULL/lr_3e-05_seed_12002
household,GPU_FIT_SORT_SELECTION,OFF_LORA,12001,0.0001,0.4206540013912753,40,True,True,False,1206912,39.433474899997236,44.532,runs/peft_temporal_replication_v1/trials/household/OFF_LORA/lr_1e-04_seed_12001
household,GPU_FIT_SORT_SELECTION,OFF_LORA,12002,0.0001,0.4202076843829469,40,True,True,False,1206912,38.53729149999708,44.485,runs/peft_temporal_replication_v1/trials/household/OFF_LORA/lr_1e-04_seed_12002
bike,CPU_RAW_SORT_SELECTION,RAW_FULL_PAST_RIDGE,-1,0.1,0.28452851525699296,,True,True,,,0.285008699996979,,runs/peft_temporal_replication_v1/raw/bike
household,CPU_RAW_SORT_SELECTION,RAW_FULL_PAST_RIDGE,-1,10.0,0.4981404959484825,,True,False,,,0.2486743999979808,,runs/peft_temporal_replication_v1/raw/household
