period,dataset,condition,seed,endpoint_index,step,update_fraction,f0_v_score,wide_v_score,all_v_score,probe_g_pct_F0,final_wide_minus_all_pct_F0,same_sign,absolute_error_pct_F0,front_g_pct_F0,back_g_pct_F0,front_back_abs_gap_pct_F0,front_back_same_sign,wide_prefix_wall_seconds,all_prefix_wall_seconds,all_short_guard_seconds
P1,bike,FULL90,26000,2,30,0.16666666666666666,0.1379427008929462,0.13689167263731936,0.13197562917182737,3.5638300784810664,4.358129501730926,True,0.7942994232498597,6.054310078858005,2.078058357872167,3.9762517209858377,True,11.191416025161743,30.53312611579895,32.593
P1,bike,FULL90,26001,1,15,0.08333333333333333,0.1379427008929462,0.13632401900440042,0.131402302381271,3.5679427699106894,5.199722931719689,True,1.631780161809,5.127163949523887,2.5503895411376103,2.576774408386277,True,9.911648988723755,20.71098804473877,34.531
P1,bike,FULL90,26001,2,30,0.16666666666666666,0.1379427008929462,0.13583750688841328,0.1310317302891907,3.4838933616010697,5.199722931719689,True,1.7158295701186197,6.040046514879602,1.4937656342448413,4.546280880634761,True,10.933005094528198,29.73071599006653,34.531
P1,bike,SPREAD30,26000,1,5,0.08333333333333333,0.1379427008929462,0.13738276482264006,0.13588852772374835,1.0832302754832595,1.9603048679207173,True,0.8770745924374579,1.3543304624164585,0.7675206632313534,0.5868097991851051,True,9.387046098709106,19.812732934951782,26.469
P1,bike,SPREAD30,26000,2,10,0.16666666666666666,0.1379427008929462,0.13704506757441096,0.13490656650679927,1.5502821488694187,1.9603048679207173,True,0.4100227190512986,2.7345188096349613,0.8322846482803601,1.9022341613546012,True,9.963032007217407,23.250722885131836,26.469
P1,bike,SPREAD30,26001,1,5,0.08333333333333333,0.1379427008929462,0.1373134337131104,0.1342345093629774,2.232031365343835,2.422860343836394,True,0.1908289784925592,3.5883274656106283,1.4873076481727328,2.1010198174378956,True,10.134697914123535,17.55343198776245,24.453
P1,bike,SPREAD30,26001,2,10,0.16666666666666666,0.1379427008929462,0.13690479105475167,0.13289768512976255,2.904906094378228,2.422860343836394,True,0.48204575054183385,5.747446221418849,1.2955924507417471,4.4518537706771015,True,10.710026025772095,20.917551040649414,24.453
P1,bike,RECENT30,26000,1,5,0.08333333333333333,0.1379427008929462,0.13748219325839425,0.13805552178776268,-0.4156280293608052,0.710787034945134,False,1.1264150643059392,-0.6267061087459885,-0.42077999602305144,0.2059261127229371,True,10.069439888000488,21.973175048828125,28.5
P1,bike,RECENT30,26000,2,10,0.16666666666666666,0.1379427008929462,0.1372035395863732,0.1374865109531791,-0.2051368901537538,0.710787034945134,False,0.9159239250988878,0.18975081466422958,-0.6299103594924168,0.8196611741566464,False,10.625641822814941,25.32903003692627,28.5
P1,bike,RECENT30,26001,1,5,0.08333333333333333,0.1379427008929462,0.13736937546746614,0.13546463369655365,1.3808209920369108,0.9617479311246375,True,0.41907306091227325,1.7637166693371296,1.027586081703461,0.7361305876336686,True,9.759268045425415,23.389755964279175,30.547
P1,bike,RECENT30,26001,2,10,0.16666666666666666,0.1379427008929462,0.13691920532524746,0.1336305807776401,2.3840511504552775,0.9617479311246375,True,1.42230321933064,3.484797350031487,1.7791997819972885,1.7055975680341984,True,10.308854103088379,26.8767409324646,30.547
P1,household,FULL90,26000,1,15,0.08333333333333333,0.4112401436970766,0.40975536307214877,0.40695912614466473,0.679952327208546,1.309466599710713,True,0.6295142725021671,1.224410853525319,0.2062014156229683,1.0182094379023507,True,10.179955959320068,22.269586086273193,34.562
P1,household,FULL90,26000,2,30,0.16666666666666666,0.4112401436970766,0.40868876773453583,0.4036988352800118,1.213386516613912,1.309466599710713,True,0.09608008309680116,1.6984998650747904,0.7711680933155711,0.9273317717592193,True,11.302641153335571,30.96821117401123,34.562
P1,household,FULL90,26001,1,15,0.08333333333333333,0.4112401436970766,0.4090981378929276,0.40580201373992963,0.8015083652499438,0.7401941748230081,True,0.061314190426935755,1.293525709950012,0.3216203032206117,0.9719054067294002,True,10.301784992218018,21.278976917266846,32.531
P1,household,FULL90,26001,2,30,0.16666666666666666,0.4112401436970766,0.40964293914332106,0.40387382039786535,1.4028588487473397,0.7401941748230081,True,0.6626646739243316,1.6150141840321457,1.1160455213275833,0.4989686627045624,True,11.346528053283691,29.906527042388916,32.531
P1,household,SPREAD30,26000,1,5,0.08333333333333333,0.4112401436970766,0.4109941908985016,0.4098183373779545,0.2859286814696901,1.1738544580493184,True,0.8879257765796283,0.43497752203737394,0.16111875720083044,0.2738587648365435,True,9.885910987854004,16.588271141052246,24.438
P1,household,SPREAD30,26000,2,10,0.16666666666666666,0.4112401436970766,0.41081431968875426,0.4087109001505489,0.5114820550580206,1.1738544580493184,True,0.6623724029912978,0.9335869968096969,0.1593131763178307,0.7742738204918662,True,10.410254955291748,20.00088596343994,24.438
P1,household,SPREAD30,26001,1,5,0.08333333333333333,0.4112401436970766,0.41095415451815465,0.4089764977714277,0.4809007041354681,1.8611242996274058,True,1.3802235954919377,0.9399799859149107,0.10873876515528606,0.8312412207596247,True,9.765902996063232,16.24623203277588,22.422
P1,household,SPREAD30,26001,2,10,0.16666666666666666,0.4112401436970766,0.41070214020928186,0.40797409095206827,0.6633713413015196,1.8611242996274058,True,1.1977529583258861,1.7263614316674925,-0.2578367397765453,1.9841981714440378,False,10.291949987411499,19.59345507621765,22.422
P1,household,RECENT30,26000,1,5,0.08333333333333333,0.4112401436970766,0.41093563256116256,0.40925501463777403,0.4086706877105088,1.7530471423516205,True,1.3443764546411117,0.6096830768452465,0.22832598896577783,0.38135708787946865,True,9.512988805770874,16.589332103729248,24.421
P1,household,RECENT30,26000,2,10,0.16666666666666666,0.4112401436970766,0.410695210334895,0.4075635194155745,0.7615236419203536,1.7530471423516205,True,0.9915235004312669,1.2218515012981122,0.36084342428212884,0.8610080770159834,True,10.010478973388672,19.935692071914673,24.421
P1,household,RECENT30,26001,1,5,0.08333333333333333,0.4112401436970766,0.41092382393722715,0.40933018833346535,0.3875194647669629,1.590631024998464,True,1.2031115602315012,0.7406013639577592,0.13748812710928893,0.6031132368484703,True,14.13438105583191,17.104284048080444,24.453
P1,household,RECENT30,26001,2,10,0.16666666666666666,0.4112401436970766,0.41063382100163565,0.4088720217366192,0.42841130468873184,1.590631024998464,True,1.1622197203097322,0.9782963014177429,0.020230930597012257,0.9580653708207306,True,15.268610000610352,20.62539792060852,24.453
