source,role,method,seed,lr,procedure,score,relative_improvement_over_f0,coverage80,width80_scaled,median_mse_scaled,crossing_before_sort,best_step,val_score,trainable,path
household,H,H_FULL,12000,3e-05,SORT,0.37711163593452024,0.009294116364949367,0.7371628630705394,1.6278000149139615,0.693565253892837,0.028840361445783134,120,0.4307080817782504,3653280,runs/peft_external_gap_v1/forecasts/household/H_seed_12000
household,H,H_FULL,12001,3e-05,QCAL,0.38064535221992934,0.0028353070068030117,0.7667271784232366,1.8106560973738723,0.6703322049130421,0.034155371485943775,200,0.43029219154541315,3653280,runs/peft_external_gap_v1/forecasts/household/H_seed_12001
household,H,H_FULL,12001,3e-05,SORT,0.3784958387813605,0.0056576920973430145,0.7149896265560166,1.5980573019179471,0.6912150093469904,0.034155371485943775,200,0.43029219154541315,3653280,runs/peft_external_gap_v1/forecasts/household/H_seed_12001
household,H,H_FULL,12002,3e-05,QCAL,0.38051169437114296,0.0031854462820468665,0.756094398340249,1.8286966142173382,0.6679697303802679,0.03629518072289156,160,0.4322350064036462,3653280,runs/peft_external_gap_v1/forecasts/household/H_seed_12002
household,H,H_FULL,12002,3e-05,SORT,0.3772057152539372,0.00904696160653462,0.727308091286307,1.6060146837183185,0.6911403901085944,0.03629518072289156,160,0.4322350064036462,3653280,runs/peft_external_gap_v1/forecasts/household/H_seed_12002
household,OFF_LORA,OFF_LORA,12000,0.0001,QCAL,0.3746302209997727,0.01859295764270441,0.7786566390041494,1.8547835724012272,0.6610423238986018,0.0022904116465863452,40,0.4204590542972432,1206912,runs/peft_external_gap_v1/forecasts/household/OFF_LORA_seed_12000
household,OFF_LORA,OFF_LORA,12000,0.0001,SORT,0.3696076402784033,0.02900778186578723,0.7538900414937759,1.5672427755712306,0.6802839938560716,0.0022904116465863452,40,0.4204590542972432,1206912,runs/peft_external_gap_v1/forecasts/household/OFF_LORA_seed_12000
household,OFF_LORA,OFF_LORA,12001,0.0001,QCAL,0.3750441759502544,0.017508532839662028,0.7781379668049793,1.846194612364064,0.6613071179495429,0.0014809236947791165,40,0.4240107368367511,1206912,runs/peft_external_gap_v1/forecasts/household/OFF_LORA_seed_12001
household,OFF_LORA,OFF_LORA,12001,0.0001,SORT,0.3703917665595167,0.026947812227653856,0.7525933609958506,1.6122925874350476,0.6728732556424463,0.0014809236947791165,40,0.4240107368367511,1206912,runs/peft_external_gap_v1/forecasts/household/OFF_LORA_seed_12001
household,OFF_LORA,OFF_LORA,12002,0.0001,QCAL,0.3759323406202155,0.015181835704693558,0.7686721991701244,1.8571154137443173,0.6644650164529886,0.0023217871485943773,40,0.42516075476882914,1206912,runs/peft_external_gap_v1/forecasts/household/OFF_LORA_seed_12002
household,OFF_LORA,OFF_LORA,12002,0.0001,SORT,0.37079767870325864,0.02588144484270838,0.7711358921161826,1.6582066144466023,0.6802974160383923,0.0023217871485943773,40,0.42516075476882914,1206912,runs/peft_external_gap_v1/forecasts/household/OFF_LORA_seed_12002
household,RAW,RAW_FULL_PAST_RIDGE,-1,10.0,QCAL,0.44269056715575794,-0.1597025969564525,0.7658195020746887,1.9429712276997784,0.7632665689163474,0.0,,0.4185143573845882,,runs/peft_external_gap_v1/raw/household
household,RAW,RAW_FULL_PAST_RIDGE,-1,10.0,SORT,0.43871952687746885,-0.15255530491921276,0.7681535269709543,1.9174443052965051,0.7618311112245073,0.0,,0.4185143573845882,,runs/peft_external_gap_v1/raw/household
