condition,seed,split,predictor,mse,normalized_mse_train_var,oracle_population_mse,population_mse,population_excess_over_oracle_pct,train_examples_origins,train_transitions_full
ar_rho_zero,36000,devtest,train_mean,0.9836823065315619,0.9742618607463183,1.0,,,1024,32704
ar_rho_zero,36000,devtest,lag1_linear,0.987047673546117,0.977594998597761,1.0,1.0040727007366366,0.407270073663657,1024,32704
ar_rho_zero,36000,devtest,lag1_quadratic,0.9859919684686405,0.9765494037076706,1.0,1.0048019977610683,0.4801997761068266,1024,32704
ar_rho_zero,36001,val,train_mean,0.99668167111025,0.9496524214862341,1.0,,,1024,32704
ar_rho_zero,36001,val,lag1_linear,0.9936411939646872,0.9467554117714463,1.0,1.0051828562036738,0.5182856203673758,1024,32704
ar_rho_zero,36001,val,lag1_quadratic,0.9949242491143152,0.9479779249018296,1.0,1.005743548315066,0.5743548315066072,1024,32704
ar_rho_zero,36001,devtest,train_mean,1.0324158689455838,0.9837004716188216,1.0,,,1024,32704
ar_rho_zero,36001,devtest,lag1_linear,1.035369115734929,0.986514367013952,1.0,1.0051828562036738,0.5182856203673758,1024,32704
ar_rho_zero,36001,devtest,lag1_quadratic,1.0359675226614256,0.9870845376143089,1.0,1.005743548315066,0.5743548315066072,1024,32704
ar_rho_pos06,36000,val,train_mean,0.8542301960678698,0.8491719485165166,0.64,,,1024,32704
ar_rho_pos06,36000,val,lag1_linear,0.5375439020952311,0.5343608840527478,0.64,0.6417089241811385,0.26701940330287055,1024,32704
ar_rho_pos06,36000,val,lag1_quadratic,0.536811654418241,0.5336329723147543,0.64,0.6419226597048666,0.3004155788854046,1024,32704
ar_rho_pos06,36000,devtest,train_mean,0.9675380732094797,0.9618088832180924,0.64,,,1024,32704
ar_rho_pos06,36000,devtest,lag1_linear,0.6508937811826825,0.647039571989407,0.64,0.6417089241811385,0.26701940330287055,1024,32704
ar_rho_pos06,36000,devtest,lag1_quadratic,0.6515674039037602,0.6477092059139108,0.64,0.6419226597048666,0.3004155788854046,1024,32704
ar_rho_pos06,36001,val,train_mean,1.0117799788887991,0.9851805791360342,0.64,,,1024,32704
ar_rho_pos06,36001,val,lag1_linear,0.6030838091815014,0.5872289122082909,0.64,0.6404881598284201,0.07627497319064869,1024,32704
ar_rho_pos06,36001,val,lag1_quadratic,0.6043582153250007,0.5884698145869741,0.64,0.640972476085162,0.15194938830656035,1024,32704
ar_rho_pos06,36001,devtest,train_mean,0.9647077960156687,0.9393459101845103,0.64,,,1024,32704
ar_rho_pos06,36001,devtest,lag1_linear,0.64251098990086,0.6256195638769062,0.64,0.6404881598284201,0.07627497319064869,1024,32704
ar_rho_pos06,36001,devtest,lag1_quadratic,0.6431395885869916,0.6262316368874113,0.64,0.640972476085162,0.15194938830656035,1024,32704
markov_forward,36000,val,train_mean,0.6638422012329102,0.9782590059292342,0.4600000000000001,,,1024,32704
markov_forward,36000,val,lag1_linear,0.640149835040645,0.9433451806913825,0.4600000000000001,,,1024,32704
markov_forward,36000,val,lag1_quadratic,0.4780246210896343,0.7044323029905944,0.4600000000000001,0.46161050221413613,0.350109176986102,1024,32704
markov_forward,36000,val,estimated_transition_full_train,0.47540389215322865,0.7005703133801469,0.4600000000000001,0.46002368189104426,0.005148237183516535,1024,32704
markov_forward,36000,val,estimated_transition_origin_train,0.47802462108963417,0.7044323029905942,0.4600000000000001,0.461610502214136,0.3501091769860798,1024,32704
markov_forward,36000,val,true_oracle_transition,0.47548828125000003,0.7006946718402831,0.4600000000000001,0.4600000000000001,0.0,1024,32704
markov_forward,36000,devtest,train_mean,0.6733188629150391,0.9922241163417229,0.4600000000000001,,,1024,32704
markov_forward,36000,devtest,lag1_linear,0.6537792597143319,0.9634299348813173,0.4600000000000001,,,1024,32704
markov_forward,36000,devtest,lag1_quadratic,0.480344049422133,0.7078502864370524,0.4600000000000001,0.46161050221413613,0.350109176986102,1024,32704
markov_forward,36000,devtest,estimated_transition_full_train,0.4796455555015783,0.7068209635541437,0.4600000000000001,0.46002368189104426,0.005148237183516535,1024,32704
markov_forward,36000,devtest,estimated_transition_origin_train,0.48034404942213293,0.7078502864370523,0.4600000000000001,0.461610502214136,0.3501091769860798,1024,32704
markov_forward,36000,devtest,true_oracle_transition,0.479833984375,0.7070986383420068,0.4600000000000001,0.4600000000000001,0.0,1024,32704
markov_forward,36001,val,train_mean,0.659088134765625,1.0165207568483479,0.4600000000000001,,,1024,32704
markov_forward,36001,val,lag1_linear,0.6395970586439188,0.9864594002468197,0.4600000000000001,,,1024,32704
markov_forward,36001,val,lag1_quadratic,0.43579833763513887,0.6721378107704147,0.4600000000000001,0.4602219164865213,0.04824271446113304,1024,32704
markov_forward,36001,val,estimated_transition_full_train,0.4353928370501445,0.6715124016030846,0.4600000000000001,0.4600188419023933,0.004096065737657639,1024,32704
markov_forward,36001,val,estimated_transition_origin_train,0.43579833763513903,0.6721378107704149,0.4600000000000001,0.46022191648652133,0.04824271446113304,1024,32704
markov_forward,36001,val,true_oracle_transition,0.43529296875,0.6713583733408641,0.4600000000000001,0.4600000000000001,0.0,1024,32704
markov_forward,36001,devtest,train_mean,0.6822280883789062,1.0522098277322791,0.4600000000000001,,,1024,32704
markov_forward,36001,devtest,lag1_linear,0.6618814242549635,1.0208288859073071,0.4600000000000001,,,1024,32704
markov_forward,36001,devtest,lag1_quadratic,0.49155463114086007,0.7581315143191049,0.4600000000000001,0.4602219164865213,0.04824271446113304,1024,32704
markov_forward,36001,devtest,estimated_transition_full_train,0.49111072170898074,0.7574468666553648,0.4600000000000001,0.4600188419023933,0.004096065737657639,1024,32704
markov_forward,36001,devtest,estimated_transition_origin_train,0.4915546311408602,0.7581315143191051,0.4600000000000001,0.46022191648652133,0.04824271446113304,1024,32704
markov_forward,36001,devtest,true_oracle_transition,0.49125,0.7576616774922339,0.4600000000000001,0.4600000000000001,0.0,1024,32704
markov_reverse,36000,val,train_mean,0.649871826171875,0.9816078178298147,0.4600000000000001,,,1024,32704
markov_reverse,36000,val,lag1_linear,0.6044530751140036,0.9130044420270891,0.4600000000000001,,,1024,32704
markov_reverse,36000,val,lag1_quadratic,0.4233774646734099,0.6394963013929333,0.4600000000000001,0.4608073350448599,0.17550761844777885,1024,32704
markov_reverse,36000,val,estimated_transition_full_train,0.42633674856814685,0.6439661923610692,0.4600000000000001,0.4600104135523511,0.002263815728476004,1024,32704
markov_reverse,36000,val,estimated_transition_origin_train,0.42337746467341036,0.639496301392934,0.4600000000000001,0.4608073350448598,0.17550761844777885,1024,32704
markov_reverse,36000,val,true_oracle_transition,0.42597656250000004,0.6434221443717157,0.4600000000000001,0.4600000000000001,0.0,1024,32704
markov_reverse,36000,devtest,train_mean,0.6683807373046875,1.0095648566423896,0.4600000000000001,,,1024,32704
markov_reverse,36000,devtest,lag1_linear,0.6412902138943422,0.9686456038024248,0.4600000000000001,,,1024,32704
markov_reverse,36000,devtest,lag1_quadratic,0.46070379945736556,0.6958763759850168,0.4600000000000001,0.4608073350448599,0.17550761844777885,1024,32704
markov_reverse,36000,devtest,estimated_transition_full_train,0.45942618136385116,0.6939465802033131,0.4600000000000001,0.4600104135523511,0.002263815728476004,1024,32704
markov_reverse,36000,devtest,estimated_transition_origin_train,0.46070379945736556,0.6958763759850168,0.4600000000000001,0.4608073350448598,0.17550761844777885,1024,32704
markov_reverse,36000,devtest,true_oracle_transition,0.459462890625,0.6940020282105651,0.4600000000000001,0.4600000000000001,0.0,1024,32704
markov_reverse,36001,val,train_mean,0.6971702575683594,1.0720826416223288,0.4600000000000001,,,1024,32704
markov_reverse,36001,val,lag1_linear,0.6550124213535367,1.0072538800341495,0.4600000000000001,,,1024,32704
markov_reverse,36001,val,lag1_quadratic,0.4656530751102699,0.71606407964819,0.4600000000000001,0.46171692520704455,0.3732446102270526,1024,32704
markov_reverse,36001,val,estimated_transition_full_train,0.46315346790179734,0.712220276115285,0.4600000000000001,0.4600062138132346,0.0013508289640196125,1024,32704
markov_reverse,36001,val,estimated_transition_origin_train,0.46565307511027,0.7160640796481901,0.4600000000000001,0.46171692520704466,0.3732446102270748,1024,32704
markov_reverse,36001,val,true_oracle_transition,0.4631640625,0.7122365680966264,0.4600000000000001,0.4600000000000001,0.0,1024,32704
markov_reverse,36001,devtest,train_mean,0.6562690734863281,1.0091863132145644,0.4600000000000001,,,1024,32704
markov_reverse,36001,devtest,lag1_linear,0.6279638618530071,0.9656596054554423,0.4600000000000001,,,1024,32704
markov_reverse,36001,devtest,lag1_quadratic,0.45503355790169503,0.6997337787810357,0.4600000000000001,0.46171692520704455,0.3732446102270526,1024,32704
markov_reverse,36001,devtest,estimated_transition_full_train,0.4541736584953645,0.6984114572719632,0.4600000000000001,0.4600062138132346,0.0013508289640196125,1024,32704
markov_reverse,36001,devtest,estimated_transition_origin_train,0.4550335579016951,0.6997337787810358,0.4600000000000001,0.46171692520704466,0.3732446102270748,1024,32704
markov_reverse,36001,devtest,true_oracle_transition,0.4541162109375,0.6983231165418164,0.4600000000000001,0.4600000000000001,0.0,1024,32704
markov_balanced,36000,val,train_mean,0.6738061904907227,0.9937914145981931,0.64,,,1024,32704
markov_balanced,36000,val,lag1_linear,0.655240833856539,0.9664095171143359,0.64,,,1024,32704
markov_balanced,36000,val,lag1_quadratic,0.657632437820179,0.9699368748616037,0.64,0.6419861007750445,0.31032824610068843,1024,32704
markov_balanced,36000,val,estimated_transition_full_train,0.6530556870466395,0.963186661388221,0.64,0.6400254769909842,0.0039807798412727635,1024,32704
markov_balanced,36000,val,estimated_transition_origin_train,0.657632437820179,0.9699368748616037,0.64,0.6419861007750445,0.31032824610068843,1024,32704
markov_balanced,36000,val,true_oracle_transition,0.6531250000000001,0.9632888905142549,0.64,0.64,0.0,1024,32704
markov_balanced,36000,devtest,train_mean,0.6687145233154297,0.9862817550013996,0.64,,,1024,32704
markov_balanced,36000,devtest,lag1_linear,0.6352935011607714,0.9369893540808819,0.64,,,1024,32704
markov_balanced,36000,devtest,lag1_quadratic,0.6358527678859285,0.937814212145078,0.64,0.6419861007750445,0.31032824610068843,1024,32704
markov_balanced,36000,devtest,estimated_transition_full_train,0.634071670108583,0.9351872851374814,0.64,0.6400254769909842,0.0039807798412727635,1024,32704
markov_balanced,36000,devtest,estimated_transition_origin_train,0.6358527678859285,0.937814212145078,0.64,0.6419861007750445,0.31032824610068843,1024,32704
markov_balanced,36000,devtest,true_oracle_transition,0.6338476562500001,0.9348568888713851,0.64,0.64,0.0,1024,32704
markov_balanced,36001,val,train_mean,0.6875429153442383,1.0315913133189194,0.64,,,1024,32704
markov_balanced,36001,val,lag1_linear,0.6665934492336015,1.0001586757684595,0.64,,,1024,32704
markov_balanced,36001,val,lag1_quadratic,0.6669828233779144,1.0007428938237106,0.64,0.6407874849620993,0.1230445253280088,1024,32704
markov_balanced,36001,val,estimated_transition_full_train,0.6646767562195433,0.9972828642089563,0.64,0.6401297698528947,0.020276539514796355,1024,32704
markov_balanced,36001,val,estimated_transition_origin_train,0.6669828233779141,1.0007428938237104,0.64,0.6407874849620991,0.1230445253279866,1024,32704
markov_balanced,36001,val,true_oracle_transition,0.66359375,0.9956579186478609,0.64,0.64,0.0,1024,32704
markov_balanced,36001,devtest,train_mean,0.6423530578613281,0.9637883247503445,0.64,,,1024,32704
markov_balanced,36001,devtest,lag1_linear,0.6138555002802514,0.9210305096447585,0.64,,,1024,32704
markov_balanced,36001,devtest,lag1_quadratic,0.6141475747393526,0.9214687389801597,0.64,0.6407874849620993,0.1230445253280088,1024,32704
markov_balanced,36001,devtest,estimated_transition_full_train,0.613637182270321,0.9207029446919985,0.64,0.6401297698528947,0.020276539514796355,1024,32704
markov_balanced,36001,devtest,estimated_transition_origin_train,0.6141475747393524,0.9214687389801596,0.64,0.6407874849620991,0.1230445253279866,1024,32704
markov_balanced,36001,devtest,true_oracle_transition,0.61353515625,0.9205498645657303,0.64,0.64,0.0,1024,32704
