update,train_loss,primary,mse10,mse60,dataset,arm,seed
1000,0.2341027855873108,0.2027810563643773,0.2050614356994629,0.2005006844798723,jena,O,2026090602
1500,0.1827859878540039,0.1941075598200162,0.1963850085934003,0.191830113530159,jena,O,2026090602
2000,0.1828039437532425,0.1934275378783544,0.1956877360741297,0.1911673371990521,jena,O,2026090602
2500,0.1653795838356018,0.1896689410010973,0.1919613803426424,0.1873764991760254,jena,O,2026090602
3000,0.2414429783821106,0.1907564873496691,0.1930248936017354,0.1884880736470222,jena,O,2026090602
3500,0.1273819357156753,0.184342307349046,0.1865895564357439,0.1820950657129287,jena,O,2026090602
4000,0.1534469127655029,0.183967538177967,0.1862198660771052,0.1817152053117752,jena,O,2026090602
4500,0.2092614769935608,0.1842822258671125,0.1865251312653223,0.1820393179853757,jena,O,2026090602
5000,0.1635548174381256,0.1847425873080889,0.1869832078615824,0.1825019717216491,jena,O,2026090602
500,0.1851944625377655,0.2342401494582494,0.2367674062649409,0.2317128951350847,jena,R,2026090601
1000,0.200072556734085,0.2112171625097592,0.2136567731698354,0.2087775493661562,jena,R,2026090601
1500,0.1399271488189697,0.1801198795437812,0.1824466337760289,0.1777931228280067,jena,R,2026090601
2000,0.1235058233141899,0.1819130380948384,0.1842114031314849,0.1796146755417188,jena,R,2026090601
2500,0.1662609428167343,0.1887217263380686,0.1909822424252828,0.1864612077673276,jena,R,2026090601
3000,0.1884816586971283,0.1805886477231979,0.182880754272143,0.1782965337236722,jena,R,2026090601
3500,0.1759558767080307,0.1819856638709704,0.1842667063077291,0.1797046214342117,jena,R,2026090601
4000,0.1591122448444366,0.1853615418076515,0.1876489520072937,0.1830741291244824,jena,R,2026090601
4500,0.2075484693050384,0.176027625799179,0.1783035347859064,0.1737517168124517,jena,R,2026090601
5000,0.1758564114570617,0.179077776769797,0.1813635602593422,0.1767919932802518,jena,R,2026090601
500,0.1970987915992736,0.2254286035895347,0.2281356478730837,0.2227215568224589,jena,R,2026090602
