dataset,operation,r,seed,role,M,O,R,O_vs_M_pct,O_vs_R_pct,M_vs_R_pct
uci,END_BIN,4,2026090601,SEEN,0.44620839010223806,0.44531527548456046,0.4582946753661505,0.20015639272783492,2.832107938243067,2.6372301302117873
uci,END_BIN,6,2026090601,UNSEEN_INTERPOLATION,0.45598678416544436,0.4550149869037396,0.47433120268066137,0.21311961123684497,4.072305525707998,3.8674281623355955
uci,END_BIN,8,2026090601,SEEN,0.46135053169491647,0.4601461592167564,0.47647091836524563,0.26105366644652017,3.4261816449362548,3.173412287618027
uci,END_BIN,12,2026090601,UNSEEN_EXTRAPOLATION,0.4763761408761197,0.4748472301793304,0.4903076427950003,0.3209461107723466,3.1532065312173674,2.841379718142678
uci,INTERVAL_MEAN,2,2026090601,SEEN,0.44144304123190514,0.4412730212697782,0.4538341935024475,0.03851458653703066,2.7677888560421082,2.7303258432147093
uci,INTERVAL_MEAN,3,2026090601,UNSEEN_INTERPOLATION,0.443827956538783,0.4431084827103826,0.45650287082342694,0.16210646891449132,2.9341300940526227,2.7765245510463776
uci,INTERVAL_MEAN,4,2026090601,SEEN,0.4479117432931473,0.44773224979982185,0.45885830499235025,0.04007340642729895,2.4247256879689427,2.3856082760418618
uci,INTERVAL_MEAN,6,2026090601,UNSEEN_INTERPOLATION,0.45445125568967953,0.4535317100052265,0.4629865455638762,0.20234198342294896,2.0421404572641633,1.8435287063906847
uci,INTERVAL_MEAN,8,2026090601,SEEN,0.4588584203919208,0.4585157615396044,0.4675945088924206,0.07467637883243894,1.941585536220436,1.8683043394142396
uci,INTERVAL_MEAN,12,2026090601,UNSEEN_EXTRAPOLATION,0.4669689455207576,0.4652954619701729,0.47373808451886984,0.358371486291964,1.7821287383452122,1.4288779431755105
jena,END_BIN,2,2026090602,SEEN,0.14950020832987657,0.14854180226763583,0.14971890954872663,0.6410733957814885,0.7862114976917467,0.14607454696888844
jena,END_BIN,3,2026090602,UNSEEN_INTERPOLATION,0.1488648516850051,0.14863570101487045,0.14987032359000618,0.1539320178946868,0.8237938943224221,0.6708945980204217
jena,END_BIN,4,2026090602,SEEN,0.14890301215833732,0.14869334373302134,0.1495188845503291,0.1408087199021968,0.55213147141282,0.4119027464951963
jena,END_BIN,6,2026090602,UNSEEN_INTERPOLATION,0.14797055722514446,0.14878300103807413,0.14991117531210307,-0.5490577505182337,0.7525618231463915,1.2945119554418794
jena,END_BIN,8,2026090602,SEEN,0.1486206448462806,0.14900920207371587,0.14836796961939175,-0.2614422968203023,-0.43219062441111067,-0.17030308329826216
jena,END_BIN,12,2026090602,UNSEEN_EXTRAPOLATION,0.1511366854777936,0.1517415526688664,0.14935811617900457,-0.4002120260614639,-1.5957863896765456,-1.190808604373017
jena,INTERVAL_MEAN,2,2026090602,SEEN,0.14805696798164503,0.14765974088676478,0.15092363915480397,0.2682934145520899,2.162615668637158,1.899418268213482
jena,INTERVAL_MEAN,3,2026090602,UNSEEN_INTERPOLATION,0.15119351304782835,0.14886066962977074,0.15214237068330075,1.5429520559652854,2.1569935046964583,0.6236642897116007
jena,INTERVAL_MEAN,4,2026090602,SEEN,0.15025213347764652,0.1511492901684204,0.15313496651163788,-0.5971007998414546,1.2966838263334002,1.88254394124433
jena,INTERVAL_MEAN,6,2026090602,UNSEEN_INTERPOLATION,0.1566069256657652,0.15520794845318714,0.15512591024360484,0.8933048181814063,-0.052884917454143476,-0.9547182800311305
jena,INTERVAL_MEAN,8,2026090602,SEEN,0.15774004648372314,0.15786583661335504,0.15762774186124204,-0.0797452089282169,-0.15104876165934478,-0.07124673687197713
jena,INTERVAL_MEAN,12,2026090602,UNSEEN_EXTRAPOLATION,0.18704935528414385,0.16793605619919522,0.1637616852812687,10.218318612172661,-2.549052246718664,-14.220463085047918
uci,END_BIN,2,2026090602,SEEN,0.4368095152227659,0.43668624781416876,0.4470843532761201,0.02821994583480647,2.3257591963925184,2.2981877979094567
