dataset,block_id,operation,r,arm,primary_sum,n_keys
jena,85,END_BIN,3,R,7.563321890257713,42
jena,85,END_BIN,6,M,7.278372722690821,42
jena,85,END_BIN,6,O,7.260118335989924,42
jena,85,END_BIN,6,R,7.53916807539968,42
jena,85,END_BIN,12,M,8.004820631933399,42
jena,85,END_BIN,12,O,7.9191450521142945,42
jena,85,END_BIN,12,R,8.198103630553103,42
jena,85,INTERVAL_MEAN,3,M,7.464220036597301,42
jena,85,INTERVAL_MEAN,3,O,7.555532288789335,42
jena,85,INTERVAL_MEAN,3,R,7.777824479439813,42
jena,85,INTERVAL_MEAN,6,M,7.842900138413016,42
jena,85,INTERVAL_MEAN,6,O,7.713135873122762,42
jena,85,INTERVAL_MEAN,6,R,7.957267340531366,42
jena,85,INTERVAL_MEAN,12,M,8.39164586054782,42
jena,85,INTERVAL_MEAN,12,O,7.941221318130071,42
jena,85,INTERVAL_MEAN,12,R,8.49139603995718,42
jena,86,END_BIN,3,M,5.053713376349252,42
jena,86,END_BIN,3,O,5.133547957566204,42
jena,86,END_BIN,3,R,5.558842206551668,42
jena,86,END_BIN,6,M,5.133430982558315,42
jena,86,END_BIN,6,O,5.205770434701764,42
jena,86,END_BIN,6,R,5.741851253996073,42
jena,86,END_BIN,12,M,5.532610217025245,42
jena,86,END_BIN,12,O,5.513219733935936,42
jena,86,END_BIN,12,R,5.5442554643426165,42
jena,86,INTERVAL_MEAN,3,M,5.04595799885121,42
jena,86,INTERVAL_MEAN,3,O,4.987232141683409,42
jena,86,INTERVAL_MEAN,3,R,5.5457771893933465,42
jena,86,INTERVAL_MEAN,6,M,5.426969758829929,42
jena,86,INTERVAL_MEAN,6,O,5.39194375806902,42
jena,86,INTERVAL_MEAN,6,R,5.813811367519924,42
jena,86,INTERVAL_MEAN,12,M,6.785447926480426,42
jena,86,INTERVAL_MEAN,12,O,6.432829753347,42
jena,86,INTERVAL_MEAN,12,R,6.810247166502652,42
jena,87,END_BIN,3,M,9.296330318873515,42
jena,87,END_BIN,3,O,9.286459519146268,42
jena,87,END_BIN,3,R,8.907570313267772,42
jena,87,END_BIN,6,M,9.98520629077878,42
jena,87,END_BIN,6,O,10.137644330123697,42
jena,87,END_BIN,6,R,9.017308284916604,42
jena,87,END_BIN,12,M,10.419167947767871,42
jena,87,END_BIN,12,O,10.404153781865414,42
jena,87,END_BIN,12,R,8.855250382221937,42
jena,87,INTERVAL_MEAN,3,M,8.489403221539558,42
jena,87,INTERVAL_MEAN,3,O,8.501598418176096,42
jena,87,INTERVAL_MEAN,3,R,8.849171049233215,42
jena,87,INTERVAL_MEAN,6,M,8.322699243463124,42
jena,87,INTERVAL_MEAN,6,O,8.439608846532387,42
jena,87,INTERVAL_MEAN,6,R,9.006799981224402,42
jena,87,INTERVAL_MEAN,12,M,9.366170815644889,42
jena,87,INTERVAL_MEAN,12,O,8.636058402098975,42
jena,87,INTERVAL_MEAN,12,R,9.508325024255706,42
jena,88,END_BIN,3,M,8.896683663194482,42
jena,88,END_BIN,3,O,8.975219657023747,42
jena,88,END_BIN,3,R,8.807267822364034,42
jena,88,END_BIN,6,M,8.746901677248793,42
jena,88,END_BIN,6,O,8.907815538812429,42
jena,88,END_BIN,6,R,8.58183138921029,42
jena,88,END_BIN,12,M,8.856924232564374,42
jena,88,END_BIN,12,O,9.086061985852817,42
jena,88,END_BIN,12,R,8.7229055126922,42
jena,88,INTERVAL_MEAN,3,M,9.181556062443027,42
jena,88,INTERVAL_MEAN,3,O,9.398228102234295,42
jena,88,INTERVAL_MEAN,3,R,9.031612553090477,42
jena,88,INTERVAL_MEAN,6,M,9.85818087710585,42
jena,88,INTERVAL_MEAN,6,O,9.964351214183909,42
jena,88,INTERVAL_MEAN,6,R,9.167488550715563,42
jena,88,INTERVAL_MEAN,12,M,11.363116973209092,42
jena,88,INTERVAL_MEAN,12,O,10.643152564531192,42
jena,88,INTERVAL_MEAN,12,R,9.526755325987729,42
jena,89,END_BIN,3,M,6.89576557581798,42
jena,89,END_BIN,3,O,6.944384618584688,42
jena,89,END_BIN,3,R,6.134963666961994,42
jena,89,END_BIN,6,M,6.832761823070339,42
jena,89,END_BIN,6,O,6.892467525388283,42
jena,89,END_BIN,6,R,6.130156176853537,42
jena,89,END_BIN,12,M,6.819061757944938,42
jena,89,END_BIN,12,O,6.880422669653651,42
jena,89,END_BIN,12,R,6.013307177694514,42
jena,89,INTERVAL_MEAN,3,M,7.050046744795206,42
jena,89,INTERVAL_MEAN,3,O,6.94959444563008,42
jena,89,INTERVAL_MEAN,3,R,6.168150458510758,42
jena,89,INTERVAL_MEAN,6,M,7.1084790573416585,42
jena,89,INTERVAL_MEAN,6,O,7.1662133665910615,42
jena,89,INTERVAL_MEAN,6,R,6.31229644974034,42
jena,89,INTERVAL_MEAN,12,M,7.458442911880816,42
jena,89,INTERVAL_MEAN,12,O,7.402962695600258,42
jena,89,INTERVAL_MEAN,12,R,6.821792311552498,42
jena,90,END_BIN,3,M,8.3508576094949,42
jena,90,END_BIN,3,O,8.329382839961909,42
jena,90,END_BIN,3,R,7.983993170032692,42
jena,90,END_BIN,6,M,8.26681545105142,42
jena,90,END_BIN,6,O,8.217639163207625,42
jena,90,END_BIN,6,R,7.968245689265637,42
jena,90,END_BIN,12,M,8.164579269165793,42
jena,90,END_BIN,12,O,8.129355900571682,42
jena,90,END_BIN,12,R,7.6378316798557835,42
jena,90,INTERVAL_MEAN,3,M,8.58584983778807,42
jena,90,INTERVAL_MEAN,3,O,8.654888560225825,42
jena,90,INTERVAL_MEAN,3,R,8.02805090892232,42
jena,90,INTERVAL_MEAN,6,M,9.016709895041357,42
jena,90,INTERVAL_MEAN,6,O,8.813895297705635,42
jena,90,INTERVAL_MEAN,6,R,8.044827007617439,42
jena,90,INTERVAL_MEAN,12,M,9.69908530324594,42
jena,90,INTERVAL_MEAN,12,O,8.715224835730623,42
jena,90,INTERVAL_MEAN,12,R,8.110980809064738,42
jena,91,END_BIN,3,M,3.645517885167566,42
jena,91,END_BIN,3,O,3.62712571584335,42
jena,91,END_BIN,3,R,3.829831330535752,42
jena,91,END_BIN,6,M,3.6106739570645408,42
jena,91,END_BIN,6,O,3.6190251165373613,42
jena,91,END_BIN,6,R,3.8558281429868657,42
jena,91,END_BIN,12,M,3.5794651912227793,42
jena,91,END_BIN,12,O,3.4581159429572934,42
jena,91,END_BIN,12,R,3.797030546476081,42
jena,91,INTERVAL_MEAN,3,M,4.103026073458346,42
jena,91,INTERVAL_MEAN,3,O,3.950373734780846,42
jena,91,INTERVAL_MEAN,3,R,3.869634654676904,42
jena,91,INTERVAL_MEAN,6,M,3.9925749230670693,42
jena,91,INTERVAL_MEAN,6,O,4.064846040499914,42
jena,91,INTERVAL_MEAN,6,R,4.006342758941981,42
jena,91,INTERVAL_MEAN,12,M,4.886759686438988,42
jena,91,INTERVAL_MEAN,12,O,4.259026687113671,42
jena,91,INTERVAL_MEAN,12,R,4.34258091349491,42
jena,92,END_BIN,3,M,12.977009099300227,42
jena,92,END_BIN,3,O,12.91404966374911,42
jena,92,END_BIN,3,R,12.841915030782628,42
jena,92,END_BIN,6,M,12.711270174309094,42
jena,92,END_BIN,6,O,12.640334917232394,42
jena,92,END_BIN,6,R,12.87112602358684,42
jena,92,END_BIN,12,M,12.495766079958734,42
jena,92,END_BIN,12,O,12.539074052875447,42
jena,92,END_BIN,12,R,13.066477333764649,42
jena,92,INTERVAL_MEAN,3,M,12.878091041024566,42
jena,92,INTERVAL_MEAN,3,O,12.846792951452597,42
jena,92,INTERVAL_MEAN,3,R,12.977201073178245,42
jena,92,INTERVAL_MEAN,6,M,13.144005907233804,42
jena,92,INTERVAL_MEAN,6,O,13.068479208353287,42
jena,92,INTERVAL_MEAN,6,R,13.14795155022552,42
jena,92,INTERVAL_MEAN,12,M,14.822130193985585,42
jena,92,INTERVAL_MEAN,12,O,14.096561984081442,42
jena,92,INTERVAL_MEAN,12,R,13.723482980160043,42
jena,93,END_BIN,3,M,4.63093846504085,42
jena,93,END_BIN,3,O,4.660592968685604,42
jena,93,END_BIN,3,R,4.532759250762562,42
jena,93,END_BIN,6,M,4.574422444637295,42
jena,93,END_BIN,6,O,4.575427858980321,42
jena,93,END_BIN,6,R,4.477023916150857,42
jena,93,END_BIN,12,M,4.5403255027874065,42
jena,93,END_BIN,12,O,4.547049709957921,42
jena,93,END_BIN,12,R,4.338855980203435,42
jena,93,INTERVAL_MEAN,3,M,4.51096621058241,42
jena,93,INTERVAL_MEAN,3,O,4.510122666969741,42
jena,93,INTERVAL_MEAN,3,R,4.532572091996877,42
jena,93,INTERVAL_MEAN,6,M,4.5355892249564125,42
jena,93,INTERVAL_MEAN,6,O,4.7175666765930755,42
jena,93,INTERVAL_MEAN,6,R,4.454362077069365,42
jena,93,INTERVAL_MEAN,12,M,5.570883776682119,42
jena,93,INTERVAL_MEAN,12,O,5.052533134695194,42
jena,93,INTERVAL_MEAN,12,R,4.423868157603364,42
jena,94,END_BIN,3,M,3.9236635175378374,42
jena,94,END_BIN,3,O,3.913100416603912,42
jena,94,END_BIN,3,R,3.921743229031563,42
jena,94,END_BIN,6,M,3.9579814875032753,42
jena,94,END_BIN,6,O,3.961311590637908,42
jena,94,END_BIN,6,R,3.918222674763658,42
jena,94,END_BIN,12,M,4.0026929271407425,42
jena,94,END_BIN,12,O,3.9589506302662714,42
jena,94,END_BIN,12,R,4.035135818787643,42
jena,94,INTERVAL_MEAN,3,M,4.053785554372654,42
jena,94,INTERVAL_MEAN,3,O,4.00278335748913,42
jena,94,INTERVAL_MEAN,3,R,3.986528316629119,42
jena,94,INTERVAL_MEAN,6,M,4.0896053013081355,42
jena,94,INTERVAL_MEAN,6,O,4.188327448649539,42
jena,94,INTERVAL_MEAN,6,R,4.081075826168267,42
jena,94,INTERVAL_MEAN,12,M,5.03774836144617,42
jena,94,INTERVAL_MEAN,12,O,4.456023065632002,42
jena,94,INTERVAL_MEAN,12,R,4.213309042867169,42
jena,95,END_BIN,3,M,3.417902768848257,42
jena,95,END_BIN,3,O,3.46975854873502,42
jena,95,END_BIN,3,R,3.122804766100469,42
jena,95,END_BIN,6,M,3.380431649896006,42
jena,95,END_BIN,6,O,3.393923051409527,42
jena,95,END_BIN,6,R,3.1635386760786384,42
jena,95,END_BIN,12,M,3.4518157980766975,42
jena,95,END_BIN,12,O,3.481317870613162,42
jena,95,END_BIN,12,R,3.1474060404062687,42
jena,95,INTERVAL_MEAN,3,M,3.595158443074777,42
jena,95,INTERVAL_MEAN,3,O,3.465931831370755,42
jena,95,INTERVAL_MEAN,3,R,3.164774618227966,42
jena,95,INTERVAL_MEAN,6,M,3.571800861184278,42
jena,95,INTERVAL_MEAN,6,O,3.7754007942599452,42
jena,95,INTERVAL_MEAN,6,R,3.2910655528151738,42
jena,95,INTERVAL_MEAN,12,M,4.459925355603143,42
jena,95,INTERVAL_MEAN,12,O,4.065010785306287,42
jena,95,INTERVAL_MEAN,12,R,3.588530659035314,42
jena,96,END_BIN,3,M,4.079340073435257,42
jena,96,END_BIN,3,O,4.12605629105302,42
jena,96,END_BIN,3,R,3.7537682024994865,42
jena,96,END_BIN,6,M,4.082043452295086,42
jena,96,END_BIN,6,O,4.141694399172492,42
jena,96,END_BIN,6,R,3.6923011052422225,42
jena,96,END_BIN,12,M,4.267788533108412,42
jena,96,END_BIN,12,O,4.411806815088817,42
jena,96,END_BIN,12,R,3.744999869125119,42
jena,96,INTERVAL_MEAN,3,M,4.024577509818806,42
jena,96,INTERVAL_MEAN,3,O,3.942697693283359,42
jena,96,INTERVAL_MEAN,3,R,3.770195525424141,42
jena,96,INTERVAL_MEAN,6,M,3.9463153030374087,42
jena,96,INTERVAL_MEAN,6,O,4.173574712780667,42
jena,96,INTERVAL_MEAN,6,R,3.753601447465674,42
jena,96,INTERVAL_MEAN,12,M,4.3535758666176765,42
jena,96,INTERVAL_MEAN,12,O,4.141544195254229,42
jena,96,INTERVAL_MEAN,12,R,3.7891516275315857,42
jena,97,END_BIN,3,M,2.2761851278402094,42
jena,97,END_BIN,3,O,2.3153573061604726,42
jena,97,END_BIN,3,R,2.379632815848001,42
jena,97,END_BIN,6,M,2.266656159565577,42
jena,97,END_BIN,6,O,2.2417414366112403,42
jena,97,END_BIN,6,R,2.3489183295945013,42
jena,97,END_BIN,12,M,2.3566822268637933,42
jena,97,END_BIN,12,O,2.315047967221795,42
jena,97,END_BIN,12,R,2.3787723582354374,42
jena,97,INTERVAL_MEAN,3,M,2.4306711116935023,42
jena,97,INTERVAL_MEAN,3,O,2.302945420262404,42
jena,97,INTERVAL_MEAN,3,R,2.3681031592035042,42
jena,97,INTERVAL_MEAN,6,M,2.2960597573611365,42
jena,97,INTERVAL_MEAN,6,O,2.5529638643104895,42
jena,97,INTERVAL_MEAN,6,R,2.409291571135529,42
jena,97,INTERVAL_MEAN,12,M,3.2947858390139624,42
jena,97,INTERVAL_MEAN,12,O,2.7301567322703906,42
jena,97,INTERVAL_MEAN,12,R,2.6026254489034826,42
jena,98,END_BIN,3,M,8.555940208193432,42
jena,98,END_BIN,3,O,8.623093414896479,42
jena,98,END_BIN,3,R,9.045571374991495,42
jena,98,END_BIN,6,M,8.459067315781592,42
jena,98,END_BIN,6,O,8.559105825325888,42
jena,98,END_BIN,6,R,9.134628296583994,42
jena,98,END_BIN,12,M,8.506053497549146,42
jena,98,END_BIN,12,O,8.536881706134105,42
jena,98,END_BIN,12,R,9.163707475747085,42
jena,98,INTERVAL_MEAN,3,M,9.003276720526628,42
jena,98,INTERVAL_MEAN,3,O,8.870863336811048,42
jena,98,INTERVAL_MEAN,3,R,9.153203067007578,42
jena,98,INTERVAL_MEAN,6,M,9.536766968868001,42
jena,98,INTERVAL_MEAN,6,O,9.33611951467012,42
jena,98,INTERVAL_MEAN,6,R,9.550732225904035,42
jena,98,INTERVAL_MEAN,12,M,11.080945377031135,42
jena,98,INTERVAL_MEAN,12,O,10.520247099662406,42
jena,98,INTERVAL_MEAN,12,R,10.585836475999612,42
jena,99,END_BIN,3,M,13.604234951118189,42
jena,99,END_BIN,3,O,13.794303742321466,42
jena,99,END_BIN,3,R,13.893384155377538,42
jena,99,END_BIN,6,M,13.448638453303525,42
jena,99,END_BIN,6,O,13.585562476694273,42
jena,99,END_BIN,6,R,13.75287196580838,42
jena,99,END_BIN,12,M,13.354490192012033,42
jena,99,END_BIN,12,O,13.629853440539186,42
jena,99,END_BIN,12,R,13.066488604061306,42
jena,99,INTERVAL_MEAN,3,M,14.241073703296328,42
jena,99,INTERVAL_MEAN,3,O,14.365508849926604,42
jena,99,INTERVAL_MEAN,3,R,14.734544930138833,42
jena,99,INTERVAL_MEAN,6,M,15.145855152921285,42
jena,99,INTERVAL_MEAN,6,O,15.127501762459158,42
jena,99,INTERVAL_MEAN,6,R,15.229970887510312,42
jena,99,INTERVAL_MEAN,12,M,15.925992287928239,42
jena,99,INTERVAL_MEAN,12,O,15.669656243524514,42
jena,99,INTERVAL_MEAN,12,R,15.72772013877208,42
jena,100,END_BIN,3,M,7.056780015257472,42
jena,100,END_BIN,3,O,7.165504195494577,42
jena,100,END_BIN,3,R,7.0468279736944375,42
jena,100,END_BIN,6,M,6.7983497819708045,42
jena,100,END_BIN,6,O,6.902309229416359,42
jena,100,END_BIN,6,R,7.002047433724834,42
jena,100,END_BIN,12,M,6.707475406428178,42
jena,100,END_BIN,12,O,6.81875674193725,42
jena,100,END_BIN,12,R,7.077666481517048,42
jena,100,INTERVAL_MEAN,3,M,7.411910823656298,42
jena,100,INTERVAL_MEAN,3,O,7.285727124874636,42
jena,100,INTERVAL_MEAN,3,R,7.1559871092257605,42
jena,100,INTERVAL_MEAN,6,M,7.776299552177079,42
jena,100,INTERVAL_MEAN,6,O,7.742296390985656,42
jena,100,INTERVAL_MEAN,6,R,7.31430491043203,42
jena,100,INTERVAL_MEAN,12,M,9.455502396501187,42
jena,100,INTERVAL_MEAN,12,O,8.387448417410875,42
jena,100,INTERVAL_MEAN,12,R,7.580098831120671,42
jena,101,END_BIN,3,M,1.9551276857932356,42
jena,101,END_BIN,3,O,1.9923277124503835,42
jena,101,END_BIN,3,R,1.9786919676246018,42
jena,101,END_BIN,6,M,1.968599497269477,42
jena,101,END_BIN,6,O,1.9618249466261153,42
jena,101,END_BIN,6,R,1.9874007036301515,42
jena,101,END_BIN,12,M,2.163223073727244,42
jena,101,END_BIN,12,O,2.148451634385209,42
jena,101,END_BIN,12,R,1.9723072529822174,42
jena,101,INTERVAL_MEAN,3,M,2.0626204818642386,42
jena,101,INTERVAL_MEAN,3,O,1.8701416856104818,42
jena,101,INTERVAL_MEAN,3,R,1.9777786073908727,42
jena,101,INTERVAL_MEAN,6,M,1.8357371467152714,42
jena,101,INTERVAL_MEAN,6,O,2.050548322382383,42
jena,101,INTERVAL_MEAN,6,R,1.969463120926068,42
jena,101,INTERVAL_MEAN,12,M,2.932455886297652,42
jena,101,INTERVAL_MEAN,12,O,2.152189757746075,42
jena,101,INTERVAL_MEAN,12,R,1.9903490173035405,42
jena,102,END_BIN,3,M,6.4614673890173435,42
jena,102,END_BIN,3,O,6.432607950875536,42
jena,102,END_BIN,3,R,6.345845540907855,42
jena,102,END_BIN,6,M,6.1983138228145735,42
jena,102,END_BIN,6,O,6.280689497530046,42
jena,102,END_BIN,6,R,6.27198226385129,42
jena,102,END_BIN,12,M,5.693968873833203,42
jena,102,END_BIN,12,O,5.742581659539914,42
jena,102,END_BIN,12,R,5.979292634809908,42
jena,102,INTERVAL_MEAN,3,M,6.490247078188178,42
jena,102,INTERVAL_MEAN,3,O,6.2971320478763015,42
jena,102,INTERVAL_MEAN,3,R,6.4279412090674874,42
jena,102,INTERVAL_MEAN,6,M,6.907070283596921,42
jena,102,INTERVAL_MEAN,6,O,6.718397485299243,42
jena,102,INTERVAL_MEAN,6,R,6.440276165027171,42
jena,102,INTERVAL_MEAN,12,M,8.890527424350795,42
jena,102,INTERVAL_MEAN,12,O,7.886937136787714,42
jena,102,INTERVAL_MEAN,12,R,6.597905270005059,42
jena,103,END_BIN,3,M,4.725953913888791,42
jena,103,END_BIN,3,O,4.848947268548525,42
jena,103,END_BIN,3,R,4.214139758117704,42
jena,103,END_BIN,6,M,4.822674666246813,42
jena,103,END_BIN,6,O,4.878263850851606,42
jena,103,END_BIN,6,R,4.354886620163193,42
jena,103,END_BIN,12,M,5.265895115780748,42
jena,103,END_BIN,12,O,5.226590665846339,42
jena,103,END_BIN,12,R,4.462941876315098,42
jena,103,INTERVAL_MEAN,3,M,4.796399159563912,42
jena,103,INTERVAL_MEAN,3,O,4.669534770597238,42
jena,103,INTERVAL_MEAN,3,R,4.140457924442469,42
jena,103,INTERVAL_MEAN,6,M,4.727142358134087,42
jena,103,INTERVAL_MEAN,6,O,4.958286835333436,42
jena,103,INTERVAL_MEAN,6,R,4.182969961386536,42
jena,103,INTERVAL_MEAN,12,M,6.177998994166653,42
jena,103,INTERVAL_MEAN,12,O,5.489741939197605,42
jena,103,INTERVAL_MEAN,12,R,4.30614301849467,42
jena,104,END_BIN,3,M,0.9300777546337081,15
jena,104,END_BIN,3,O,0.8868188565441718,15
jena,104,END_BIN,3,R,1.0067457966894533,15
jena,104,END_BIN,6,M,0.9071422062245094,15
jena,104,END_BIN,6,O,0.886017235642713,15
jena,104,END_BIN,6,R,1.0369181648776349,15
jena,104,END_BIN,12,M,0.9064981942453111,15
jena,104,END_BIN,12,O,0.8807717912908023,15
jena,104,END_BIN,12,R,1.0854326053263825,15
jena,104,INTERVAL_MEAN,3,M,0.9835889624147158,15
jena,104,INTERVAL_MEAN,3,O,0.9355563391129382,15
jena,104,INTERVAL_MEAN,3,R,1.0319441101552609,15
jena,104,INTERVAL_MEAN,6,M,0.8970562988219576,15
jena,104,INTERVAL_MEAN,6,O,0.9048667509988364,15
jena,104,INTERVAL_MEAN,6,R,1.1211948994572998,15
jena,104,INTERVAL_MEAN,12,M,1.0771248663982584,15
jena,104,INTERVAL_MEAN,12,O,0.8517833257145766,15
jena,104,INTERVAL_MEAN,12,R,1.3336586846788931,15
uci,83,END_BIN,3,M,5.233516763326608,28
uci,83,END_BIN,3,O,5.230651259525782,28
uci,83,END_BIN,3,R,5.035348758929306,28
uci,83,END_BIN,6,M,5.498512445897278,28
uci,83,END_BIN,6,O,5.478001399715948,28
uci,83,END_BIN,6,R,5.2128243356839645,28
uci,83,END_BIN,12,M,5.946635718586751,28
uci,83,END_BIN,12,O,5.918931005755439,28
uci,83,END_BIN,12,R,5.692612660531369,28
uci,83,INTERVAL_MEAN,3,M,4.983116806226058,28
uci,83,INTERVAL_MEAN,3,O,5.000532568794571,28
uci,83,INTERVAL_MEAN,3,R,5.0134067153816835,28
uci,83,INTERVAL_MEAN,6,M,4.96988834013852,28
uci,83,INTERVAL_MEAN,6,O,4.907388888273595,28
uci,83,INTERVAL_MEAN,6,R,5.007805790855653,28
uci,83,INTERVAL_MEAN,12,M,5.038485542250176,28
uci,83,INTERVAL_MEAN,12,O,4.9344361533229755,28
uci,83,INTERVAL_MEAN,12,R,5.014949906669143,28
uci,84,END_BIN,3,M,8.979833220416266,56
uci,84,END_BIN,3,O,8.95659374728954,56
uci,84,END_BIN,3,R,9.11355039777441,56
uci,84,END_BIN,6,M,9.445519130883945,56
uci,84,END_BIN,6,O,9.431856301238035,56
uci,84,END_BIN,6,R,9.472735351572434,56
uci,84,END_BIN,12,M,10.204352775705047,56
uci,84,END_BIN,12,O,10.224339920244851,56
uci,84,END_BIN,12,R,9.955645757882545,56
uci,84,INTERVAL_MEAN,3,M,8.756328587834206,56
uci,84,INTERVAL_MEAN,3,O,8.781656084038937,56
uci,84,INTERVAL_MEAN,3,R,8.94802505000391,56
uci,84,INTERVAL_MEAN,6,M,8.668396002897579,56
uci,84,INTERVAL_MEAN,6,O,8.60269938410622,56
uci,84,INTERVAL_MEAN,6,R,8.941602461803187,56
uci,84,INTERVAL_MEAN,12,M,8.728353476720965,56
uci,84,INTERVAL_MEAN,12,O,8.597701377642807,56
uci,84,INTERVAL_MEAN,12,R,8.940805492909728,56
uci,85,END_BIN,3,M,9.279669478639132,56
uci,85,END_BIN,3,O,9.249957911282157,56
uci,85,END_BIN,3,R,9.306324353648556,56
uci,85,END_BIN,6,M,9.892275031371456,56
uci,85,END_BIN,6,O,9.875739383647064,56
uci,85,END_BIN,6,R,9.683873946571516,56
uci,85,END_BIN,12,M,11.019374067532933,56
uci,85,END_BIN,12,O,10.997861326154736,56
uci,85,END_BIN,12,R,10.69075275512619,56
uci,85,INTERVAL_MEAN,3,M,8.952556425498592,56
uci,85,INTERVAL_MEAN,3,O,8.952399021635454,56
uci,85,INTERVAL_MEAN,3,R,9.208180090800548,56
uci,85,INTERVAL_MEAN,6,M,8.939962869587665,56
uci,85,INTERVAL_MEAN,6,O,8.888306214467674,56
uci,85,INTERVAL_MEAN,6,R,9.21611105880907,56
uci,85,INTERVAL_MEAN,12,M,9.133185005358731,56
uci,85,INTERVAL_MEAN,12,O,9.00314025234871,56
uci,85,INTERVAL_MEAN,12,R,9.257401203943623,56
uci,86,END_BIN,3,M,7.876131264117753,48
uci,86,END_BIN,3,O,7.85847918371049,48
uci,86,END_BIN,3,R,7.778995314535375,48
uci,86,END_BIN,6,M,8.381689363864199,48
uci,86,END_BIN,6,O,8.330694940057583,48
uci,86,END_BIN,6,R,8.222460565415936,48
uci,86,END_BIN,12,M,9.136000300654107,48
uci,86,END_BIN,12,O,9.096832669411217,48
uci,86,END_BIN,12,R,9.041974564548582,48
uci,86,INTERVAL_MEAN,3,M,7.505636171631825,48
uci,86,INTERVAL_MEAN,3,O,7.471014864626341,48
uci,86,INTERVAL_MEAN,3,R,7.645304171433155,48
uci,86,INTERVAL_MEAN,6,M,7.437390197870425,48
uci,86,INTERVAL_MEAN,6,O,7.375547662687798,48
uci,86,INTERVAL_MEAN,6,R,7.643442976521328,48
uci,86,INTERVAL_MEAN,12,M,7.668657541637205,48
uci,86,INTERVAL_MEAN,12,O,7.467090752965305,48
uci,86,INTERVAL_MEAN,12,R,7.6966202511555615,48
uci,87,END_BIN,3,M,19.283035785166753,44
uci,87,END_BIN,3,O,19.351293054719765,44
uci,87,END_BIN,3,R,20.30896752389769,44
uci,87,END_BIN,6,M,19.710884642683798,44
uci,87,END_BIN,6,O,19.79215375872122,44
uci,87,END_BIN,6,R,20.99651868475808,44
uci,87,END_BIN,12,M,20.655762172407574,44
uci,87,END_BIN,12,O,20.73338160705235,44
uci,87,END_BIN,12,R,21.984979235877592,44
uci,87,INTERVAL_MEAN,3,M,19.84641592659884,44
uci,87,INTERVAL_MEAN,3,O,19.78937322108282,44
uci,87,INTERVAL_MEAN,3,R,21.02590101191567,44
uci,87,INTERVAL_MEAN,6,M,20.124524322648842,44
uci,87,INTERVAL_MEAN,6,O,20.181304277231295,44
uci,87,INTERVAL_MEAN,6,R,21.324930516382057,44
uci,87,INTERVAL_MEAN,12,M,20.180792841646408,44
uci,87,INTERVAL_MEAN,12,O,20.162479531019926,44
uci,87,INTERVAL_MEAN,12,R,21.528678686254555,44
uci,88,END_BIN,3,M,26.077837869111036,56
uci,88,END_BIN,3,O,25.99107692266504,56
uci,88,END_BIN,3,R,26.81854410097003,56
uci,88,END_BIN,6,M,26.876503742403454,56
uci,88,END_BIN,6,O,26.72291751081745,56
uci,88,END_BIN,6,R,26.531588976995813,56
uci,88,END_BIN,12,M,28.06356105167005,56
uci,88,END_BIN,12,O,27.999791552623112,56
uci,88,END_BIN,12,R,28.17577931864394,56
