dataset,arm,seed,procedure,split,score,improvement_over_f0,coverage80,width80_scaled,median_mse_scaled,median_mse_raw,crossing_before_sort,lr,best_step,trainable,checkpoint_bytes,optimizer_seconds_per_step,fit_seconds,hpo_fit_seconds,selected_fit_seconds,selected_fit_time_unavailable,peak_cuda_allocated_bytes,peak_cuda_reserved_bytes,rss_sample_max_bytes,path
bike,LORA,20001,QCAL,E,0.17396153615411167,0.05454526739301394,0.7778645833333333,0.7728543475896359,0.19165446012618176,1945.4331749257067,0.037018229166666666,0.0001,80,1206912,4897099,0.3668612124998617,85.67814260000887,,,,1050484736,1103101952,1718124544,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\bike\LORA_seed_20001
bike,LORA,20002,SORT,E,0.17448166545971883,0.05068303602903557,0.840625,0.8279106012539459,0.19492633254203184,1989.7589847172987,0.0054361979166666664,0.0001,40,1206912,4897099,0.37416787900008786,87.77068020000297,,,,1050484736,1103101952,1716580352,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\bike\LORA_seed_20002
bike,LORA,20002,QCAL,E,0.1745110565744507,0.051558706722421445,0.7727864583333333,0.7724936892977807,0.19452503094835455,1986.6596608303664,0.04353515625,0.0001,40,1206912,4897099,0.37416787900008786,87.77068020000297,,,,1050484736,1103101952,1716580352,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\bike\LORA_seed_20002
bike,FULL_FT,20000,SORT,E,0.17581580986935214,0.04342424515771437,0.7811197916666667,0.7473707117396948,0.19993070055559276,1983.0166359869295,0.006308593750000001,1e-06,120,119477664,477968651,0.25708513050034526,64.53709399999934,,,,2598701568,2663383040,2262056960,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\bike\FULL_FT_seed_20000
bike,FULL_FT,20000,QCAL,E,0.1761079795136314,0.042879671207814836,0.7765625,0.7424967686139643,0.19967797867597503,1982.5226448583837,0.032799479166666666,1e-06,120,119477664,477968651,0.25708513050034526,64.53709399999934,,,,2598701568,2663383040,2262056960,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\bike\FULL_FT_seed_20000
bike,FULL_FT,20001,SORT,E,0.17429056129530368,0.05172279241081241,0.8145833333333334,0.8127489645138662,0.19480190670963246,1956.6449749608455,0.0064127604166666664,1e-06,80,119477664,477968651,0.254517029499475,63.398879600004875,,,,2598701568,2663383040,2262474752,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\bike\FULL_FT_seed_20001
bike,FULL_FT,20001,QCAL,E,0.17454890118613375,0.05135302696119128,0.7828125,0.7866136123196867,0.19467539777657122,1955.1892349625377,0.03522135416666666,1e-06,80,119477664,477968651,0.254517029499475,63.398879600004875,,,,2598701568,2663383040,2262474752,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\bike\FULL_FT_seed_20001
bike,FULL_FT,20002,SORT,E,0.17469447227989643,0.04952520019619298,0.796484375,0.773809020891303,0.19683593546239553,1970.8074030886082,0.007682291666666667,1e-06,120,119477664,477968651,0.25574961000005714,63.52862969999842,,,,2598701568,2663383040,2261762048,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\bike\FULL_FT_seed_20002
bike,FULL_FT,20002,QCAL,E,0.17477326055318548,0.050133667612721006,0.7830729166666667,0.7634709062417468,0.19614649242237642,1966.917758056457,0.03278645833333334,1e-06,120,119477664,477968651,0.25574961000005714,63.52862969999842,,,,2598701568,2663383040,2261762048,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\bike\FULL_FT_seed_20002
bike,SIMPLE,,SORT,E,0.25671015199256086,-0.3967043555436694,0.8286458333333333,1.1498956958459388,0.3259508533997867,3690.227473958334,0.0,,,,1849,,,0.06915260000096168,,True,0,0,,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\baselines\bike
bike,SIMPLE,,QCAL,E,0.25735811840841505,-0.3987025891085988,0.7765625,0.9340558316499286,0.32675573487401954,3709.360807291667,0.0,,,,1849,,,0.06915260000096168,,True,0,0,,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\baselines\bike
household,F0,,SORT,E,0.29798754988184006,0.0,0.7747395833333333,1.410943619123288,0.5121410945537928,0.11389123451366616,0.00026041666666666666,,0,0,0,0.0,0.0,,,,513019904,555745280,1586102272,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\household\F0
household,F0,,QCAL,E,0.30405884181389464,0.0,0.7087239583333333,1.3045949375039816,0.5308074761069663,0.11430664420025358,0.05880859375,,0,0,0,0.0,0.0,,,,513019904,555745280,1586102272,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\household\F0
household,HEAD_ONLY,20000,SORT,E,0.29512842887189406,0.009594766664176827,0.7769531249999999,1.3562319189687049,0.5134215462598243,0.11466554722612066,0.021549479166666666,3e-05,80,3653280,14616397,0.08273407250031596,26.4770056999987,,,,565512704,643825664,1839931392,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\household\HEAD_ONLY_seed_20000
household,HEAD_ONLY,20000,QCAL,E,0.3009458259377428,0.010238202111081033,0.7303385416666667,1.2825571908728697,0.5221507508366658,0.11342660210975912,0.044205729166666666,3e-05,80,3653280,14616397,0.08273407250031596,26.4770056999987,,,,565512704,643825664,1839931392,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\household\HEAD_ONLY_seed_20000
household,HEAD_ONLY,20001,SORT,E,0.29618468404358755,0.006050138131500439,0.7733072916666667,1.35745385671128,0.5098937533283084,0.11405438067491261,0.020742187500000002,3e-05,120,3653280,14616397,0.08456025400031648,27.17016939999303,,,,565512704,643825664,1839509504,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\household\HEAD_ONLY_seed_20001
household,HEAD_ONLY,20001,QCAL,E,0.3024871489744843,0.005169041722431867,0.7427083333333333,1.2875895550548964,0.5230609461775536,0.1132794223995493,0.0383984375,3e-05,120,3653280,14616397,0.08456025400031648,27.17016939999303,,,,565512704,643825664,1839509504,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\household\HEAD_ONLY_seed_20001
household,HEAD_ONLY,20002,SORT,E,0.29554787747876876,0.008187162195328956,0.759375,1.3236718482743206,0.5124020398735345,0.11513372142844427,0.029895833333333333,3e-05,200,3653280,14616397,0.08370914950035513,26.71325380000053,,,,565512704,643825664,1840844800,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\household\HEAD_ONLY_seed_20002
household,HEAD_ONLY,20002,QCAL,E,0.30191106795350287,0.0070636783577119775,0.7522135416666667,1.299394093843607,0.5202894634653248,0.11392827180122642,0.029381510416666666,3e-05,200,3653280,14616397,0.08370914950035513,26.71325380000053,,,,565512704,643825664,1840844800,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\household\HEAD_ONLY_seed_20002
household,LORA,20000,SORT,E,0.2950000920498127,0.01002544513424124,0.790234375,1.3449371863223094,0.5110165881130361,0.11379901043339359,0.00103515625,0.0001,40,1206912,4897099,0.3569014790002257,83.57598749999306,,,,992351232,1012924416,1795985408,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\household\LORA_seed_20000
household,LORA,20000,QCAL,E,0.30005451604740346,0.013169575147372652,0.7467447916666667,1.287049936489601,0.5271682632541671,0.11330101384209229,0.048111979166666666,0.0001,40,1206912,4897099,0.3569014790002257,83.57598749999306,,,,992351232,1012924416,1795985408,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\household\LORA_seed_20000
household,LORA,20001,SORT,E,0.2969728061310024,0.003405322642640698,0.7930989583333334,1.350329565705054,0.5143454162956531,0.11404810407534956,0.0006770833333333334,0.0001,40,1206912,4897099,0.3503858439999749,82.42393140000058,,,,992351232,1012924416,1796947968,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\household\LORA_seed_20001
household,LORA,20001,QCAL,E,0.30300872062676665,0.0034536775213093217,0.7111979166666667,1.2425758068975172,0.5295451672309583,0.11378675307613745,0.05246744791666667,0.0001,40,1206912,4897099,0.3503858439999749,82.42393140000058,,,,992351232,1012924416,1796947968,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\household\LORA_seed_20001
household,LORA,20002,SORT,E,0.29380658197033444,0.014030679849421537,0.7946614583333333,1.34038982737685,0.503908230729478,0.11125068247113294,0.0012369791666666666,0.0001,40,1206912,4897099,0.3521741965007823,82.46657419999246,,,,992351232,1012924416,1797115904,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\household\LORA_seed_20002
household,LORA,20002,QCAL,E,0.2990444132755,0.016491638619947794,0.7300781249999999,1.2564505544131115,0.5193935268566773,0.11063577053218741,0.04886067708333333,0.0001,40,1206912,4897099,0.3521741965007823,82.46657419999246,,,,992351232,1012924416,1797115904,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\household\LORA_seed_20002
household,FULL_FT,20000,SORT,E,0.29630071387905094,0.00566075999973154,0.77578125,1.335169172900967,0.5135799518720771,0.11376435154539064,0.00154296875,3e-06,40,119477664,477968651,0.24408574799992494,61.12759150000056,,,,2536348672,2573205504,2340003840,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\household\FULL_FT_seed_20000
household,FULL_FT,20000,QCAL,E,0.3036623148228327,0.001304112679955103,0.7434895833333333,1.2637863406463992,0.5323705521679662,0.11354746402624452,0.04534505208333334,3e-06,40,119477664,477968651,0.24408574799992494,61.12759150000056,,,,2536348672,2573205504,2340003840,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\household\FULL_FT_seed_20000
household,FULL_FT,20001,SORT,E,0.2982511337050962,-0.0008845464294084083,0.78046875,1.344919765568422,0.5190712862035706,0.11490491583139742,0.0013736979166666667,3e-06,40,119477664,477968651,0.2523994059996767,62.8336932999955,,,,2536348672,2573205504,2340601856,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\household\FULL_FT_seed_20001
household,FULL_FT,20001,QCAL,E,0.3057071995872821,-0.005421180201680717,0.7415364583333333,1.262289632855029,0.5372367746316056,0.11468168356990598,0.055644531250000004,3e-06,40,119477664,477968651,0.2523994059996767,62.8336932999955,,,,2536348672,2573205504,2340601856,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\household\FULL_FT_seed_20001
household,FULL_FT,20002,SORT,E,0.2950948657569512,0.00970739927233833,0.7795572916666667,1.3102743586262462,0.5103976046320396,0.11234376656781889,0.0021744791666666666,3e-06,40,119477664,477968651,0.25116055249993224,62.3115492999932,,,,2536348672,2573205504,2340216832,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\household\FULL_FT_seed_20002
household,FULL_FT,20002,QCAL,E,0.30127729189577357,0.009148064570421463,0.7389322916666667,1.2463075867571898,0.5265202564668986,0.11143813854731072,0.036634114583333335,3e-06,40,119477664,477968651,0.25116055249993224,62.3115492999932,,,,2536348672,2573205504,2340216832,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\forecasts\household\FULL_FT_seed_20002
household,SIMPLE,,SORT,E,0.5322690478304588,-0.7862123704212393,0.7201822916666667,2.0034430697340886,1.0400893701875107,0.45170237348692355,0.0,,,,1013698,,,0.030671100001200102,,True,0,0,,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\baselines\household
household,SIMPLE,,QCAL,E,0.5040503356817319,-0.657739445019152,0.7841145833333334,2.2025794623073316,0.9691706368398583,0.41126808239340645,0.0,,,,1013698,,,0.030671100001200102,,True,0,0,,E:\CODING\proj\mltimeseries\runs\peft_fullft_reference_v3\baselines\household
