series_id,seed,alpha_v2,alpha_eval_oracle_posthoc,v2_gap_global_minus_chosen,v2_second_best_gap,eval_regret_individual_minus_global,eval_oracle_gain_global_minus_oracle,eval_chosen_rank_of_11,v2_f0_minus_lora_loss,eval_f0_minus_lora_loss
T581,24001,1.0,0.8,0.0,0.0029970851110627805,0.0,0.00010063501132373531,4,0.03047303058093709,0.0009585788109537363
T582,24001,1.0,1.0,0.0,0.0003000598593145831,0.0,0.0,1,0.0036751120205182897,0.0014634908711730343
T583,24001,0.6,1.0,0.000656293513782602,5.2356768322547875e-05,0.006378498531034227,0.0,5,0.0007160671619754755,0.0179356660289981
T584,24001,1.0,1.0,0.0,0.0007275963218539849,0.0,0.0,1,0.007661407181477509,0.0005760207909890624
T585,24001,0.0,1.0,0.0072335888248594715,0.0006337815435952243,0.001329086184223227,0.0,11,-0.0072335888248594715,0.001329086184223227
T586,24001,1.0,1.0,0.0,0.0006136042787590057,0.0,0.0,1,0.008165640921157014,0.004707204464411863
T587,24001,0.7,1.0,0.00014651687315081485,4.8838957716790254e-05,0.006342025998904599,0.0,4,0.0016131820164884125,0.022626113878617626
T588,24001,0.0,1.0,0.0033448866519607545,0.0002707210172528951,0.006942478909853722,0.0,11,-0.0033448866519607545,0.006942478909853722
T589,24001,1.0,1.0,0.0,0.0004341847544230282,0.0,0.0,1,0.00828128161067132,0.03504132235951629
T59,24001,0.0,1.0,0.02533755664030868,0.002166916535366159,0.02737506938381873,0.0,11,-0.02533755664030868,0.02737506938381873
T590,24001,0.9,1.0,6.383826062578146e-05,9.260207887717975e-06,0.0006159965531165046,0.0,2,0.0012412791960045855,0.006965358183831372
T591,24001,1.0,1.0,0.0,0.0009074746407892187,0.0,0.0,1,0.0107994462411648,0.0009979350762046035
T592,24001,1.0,0.8,0.0,0.003150046224353664,0.0,4.2148973361522124e-05,5,0.03293094253309714,0.0003051001407014531
T593,24001,1.0,1.0,0.0,0.0005026367075969818,0.0,0.0,1,0.0077132603024199775,0.007855460132500047
T594,24001,1.0,1.0,0.0,0.002369925978387588,0.0,0.0,1,0.02483929478659741,0.008322296784913585
T595,24001,1.0,0.0,0.0,0.000444263545884227,0.0,0.001475523836559578,11,0.005950802522766363,-0.001475523836559578
T596,24001,1.0,1.0,0.0,0.0009491760853602704,0.0,0.0,1,0.00996388622144806,0.007275140876320529
T597,24001,1.0,0.1,0.0,0.00033877935398518577,0.0,0.000803389908626162,11,0.0035283772926483215,-0.0007696775690628765
T598,24001,1.0,0.0,0.0,0.0007719095110266805,0.0,0.006518037704052626,11,0.008885104326737558,-0.006518037704052626
T599,24001,1.0,0.0,0.0,0.0011421164375726156,0.0,0.005029759740514894,11,0.011656154221019122,-0.005029759740514894
T6,24001,1.0,1.0,0.0,0.0010632649430027397,0.0,0.0,1,0.010632649430027785,0.005046661665727703
T60,24001,0.0,1.0,0.003648669913544178,0.00035896188834749765,0.019737157767954594,0.0,11,-0.003648669913544178,0.019737157767954594
T600,24001,0.0,1.0,0.0042804525106006075,0.00020752146188363074,0.01500630401369163,0.0,11,-0.0042804525106006075,0.01500630401369163
T601,24001,0.2,0.0,0.0006785137534540686,2.3222476136841586e-05,-0.0008693778983840383,0.0010060444137490743,3,-0.0005986381327145462,-0.0010060444137490743
T602,24001,1.0,0.7,0.0,0.0001602079318093752,0.0,8.250439950274746e-05,9,0.00412203108541942,0.00014410623274496714
T603,24001,1.0,1.0,0.0,0.00013277747672846285,0.0,0.0,1,0.002123403129808188,0.000915734866185347
T604,24001,0.7,1.0,0.0003753086676671069,2.3303656948581164e-05,0.0027367904339797855,0.0,4,-1.780241611459843e-05,0.00932648874144515
T605,24001,0.3,0.1,0.00050221517549498,1.4945072997485376e-05,-0.00041032842924904056,0.0004896099352605932,4,-0.000372985508444168,-0.0004864588455012475
T606,24001,0.0,1.0,0.012797507712875245,0.001170739296569745,0.020376804747828214,0.0,11,-0.012797507712875245,0.020376804747828214
T607,24001,1.0,1.0,0.0,0.001039989555847387,0.0,0.0,1,0.010670948278223735,0.008994760572957394
T608,24001,0.0,1.0,0.01035574162193903,0.0009793527230003152,0.008046471042723047,0.0,11,-0.01035574162193903,0.008046471042723047
T609,24001,1.0,0.0,0.0,0.0027177799574932826,0.0,0.009736424666563215,11,0.030562508362931562,-0.009736424666563215
T61,24001,0.0,0.0,0.01172697648881238,0.0009571663920873164,-0.045008583857668816,0.045008583857668816,1,-0.01172697648881238,-0.045008583857668816
T610,24001,1.0,1.0,0.0,0.00030712396947574216,0.0,0.0,1,0.008160695929667505,0.005694397937700102
T611,24001,1.0,1.0,0.0,0.0016326701437165414,0.0,0.0,1,0.018944824362989665,0.002540033947027731
T612,24001,1.0,1.0,0.0,0.002145675472382591,0.0,0.0,1,0.02341327207860247,0.011273168340475398
T613,24001,0.0,1.0,0.003149984247743376,0.0003149984247744486,0.018404396330825912,0.0,11,-0.003149984247743376,0.018404396330825912
T614,24001,1.0,0.6,0.0,0.0009266072365352596,0.0,1.2893402364155815e-05,5,0.013359834071353383,0.00036130661947680887
T615,24001,0.0,1.0,0.015808955186690232,0.0015054737443312982,0.0010693169369838662,0.0,11,-0.015808955186690232,0.0010693169369838662
T616,24001,0.0,1.0,0.005386698980615057,0.0005092959946894071,0.009385804835069733,0.0,11,-0.005386698980615057,0.009385804835069733
T617,24001,0.0,0.0,0.005650291725452727,0.0004494103377884473,-0.002401020669575149,0.002401020669575149,1,-0.005650291725452727,-0.002401020669575149
T618,24001,1.0,0.0,0.0,0.000283488507834162,0.0,0.00041007377311957915,11,0.0035301254451914343,-0.00041007377311957915
T619,24001,1.0,1.0,0.0,0.000804146215822199,0.0,0.0,1,0.009168091404427925,0.006640743215942435
T62,24001,0.0,0.0,0.018055024380415508,0.001688545755076265,-0.004272815570108501,0.004272815570108501,1,-0.018055024380415508,-0.004272815570108501
T620,24001,1.0,1.0,0.0,0.0027200825954876717,0.0,0.0,1,0.03089524374621766,0.002235241688655909
T621,24001,1.0,1.0,0.0,0.00015247887049293918,0.0,0.0,1,0.0024106736265011863,0.005654431476257604
T622,24001,1.0,1.0,0.0,0.005928925217764225,0.0,0.0,1,0.06494828474005881,0.024410334929130417
T623,24001,0.7,1.0,0.0001296525195978171,1.8781755120711452e-05,0.00031604888610881066,0.0,4,0.0006521032137776772,0.0011839301024599846
T624,24001,1.0,1.0,0.0,0.0005804476245902801,0.0,0.0,1,0.0062228852188609685,0.005479526339301044
T625,24001,0.4,1.0,0.0007425585384682465,3.154194660695553e-05,0.001593295558254798,0.0,7,-0.0005053174852270026,0.002908734824366349
T626,24001,0.0,0.0,0.009289105375846374,0.000879900939768502,-0.0006088239532119621,0.0006088239532119621,1,-0.009289105375846374,-0.0006088239532119621
T627,24001,1.0,1.0,0.0,0.0003528910677827457,0.0,0.0,1,0.004477508755034748,0.0008581163958674143
T628,24001,0.0,1.0,0.013898493728112304,0.0010326195938897276,0.01469069485464991,0.0,11,-0.013898493728112304,0.01469069485464991
T629,24001,0.0,0.0,0.02049052285378017,0.0016409322226536016,-0.002559702882495851,0.002559702882495851,1,-0.02049052285378017,-0.002559702882495851
T63,24001,0.3,0.0,0.0007496106918039036,5.183803354680272e-05,-0.003472590908522144,0.004243725809878529,4,-0.00033740375004098766,-0.004243725809878529
T630,24001,1.0,1.0,0.0,0.0004769455050847582,0.0,0.0,1,0.006360131277686865,0.008323984924479944
T631,24001,1.0,1.0,0.0,0.0005156743614745385,0.0,0.0,1,0.00866305349973584,0.00236030117146091
T632,24001,1.0,0.0,0.0,0.0005427620206016059,0.0,0.0008841207320440247,11,0.005839775735000996,-0.0008841207320440247
T633,24001,1.0,1.0,0.0,0.002294178002379743,0.0,0.0,1,0.02354607522325014,0.0029108443165838382
T634,24001,1.0,0.7,0.0,0.0006562638706155699,0.0,0.0003380863146984492,11,0.006738970498605945,-0.00011205410589953946
T635,24001,0.0,1.0,0.022683087770357657,0.001311940984308091,0.03173548621306277,0.0,11,-0.022683087770357657,0.03173548621306277
T636,24001,1.0,0.0,0.0,0.00018192441909375967,0.0,0.0046319067987450335,11,0.004499751801772978,-0.0046319067987450335
T637,24001,1.0,1.0,0.0,0.001049460126199775,0.0,0.0,1,0.010772460333016043,0.0028904440947452037
T638,24001,0.0,1.0,0.017200328193008818,0.0012419374807679517,0.010932058181490123,0.0,11,-0.017200328193008818,0.010932058181490123
T639,24001,0.0,1.0,0.006325541391363376,0.000613977910184138,0.042858999445969215,0.0,11,-0.006325541391363376,0.042858999445969215
T64,24001,0.0,1.0,0.006657834737375579,0.0005359764322616645,0.022573380663616027,0.0,11,-0.006657834737375579,0.022573380663616027
T640,24001,1.0,1.0,0.0,0.0003683950651416912,0.0,0.0,1,0.004422957024816154,0.022161254625120197
T641,24001,0.0,1.0,0.0017186733318608205,0.00013323854781960298,0.0029418474057336663,0.0,11,-0.0017186733318608205,0.0029418474057336663
T642,24001,1.0,1.0,0.0,0.0019380038691061419,0.0,0.0,1,0.019380038691061086,0.008027523349088517
T643,24001,0.0,1.0,0.004317129788421303,0.00024664168388394136,0.003890629925880462,0.0,11,-0.004317129788421303,0.003890629925880462
T644,24001,1.0,1.0,0.0,0.001678266860007882,0.0,0.0,1,0.020193248458781038,0.006741052422803484
T645,24001,1.0,0.0,0.0,0.0006778039626715582,0.0,0.002405082000334402,11,0.007019860421008994,-0.002405082000334402
T646,24001,0.0,0.0,0.01718703116949713,0.0015155176800898118,-0.007673669115021542,0.007673669115021542,1,-0.01718703116949713,-0.007673669115021542
T647,24001,1.0,0.0,0.0,0.0041379375527358375,0.0,0.000855034577791125,11,0.04269119436402913,-0.000855034577791125
T648,24001,1.0,0.0,0.0,4.373343565905463e-05,0.0,0.01092445493112948,11,0.0016811542495284715,-0.01092445493112948
T649,24001,0.0,0.0,0.025218293806933967,0.0024190429173956973,-0.015581049783235934,0.015581049783235934,1,-0.025218293806933967,-0.015581049783235934
T65,24001,1.0,0.0,0.0,0.0018757796365300727,0.0,0.022213868874958242,11,0.02072679721466497,-0.022213868874958242
